source_key,target_key,ref_type
achinstein:1970a,koslow:1970,further_ref
achinstein:1970a,stuewer:1970,depends_on
achinstein:1973,suppes-etal:1973,depends_on
achinstein:1974,cohen_b:1974,further_ref
achinstein:1974,suppe:1974,depends_on
achinstein:1975,koerner_s:1975,depends_on
achinstein:1975a,harre:1975,further_ref
achinstein:1975a,hesse_m:1975,further_ref
achinstein:1975a,koerner_s:1975,depends_on
achinstein:1977,achinstein:2010,further_ref
achinstein:1980,nickles_t:1980,depends_on
achinstein:1981,achinstein:2010,further_ref
achinstein:1985,achinstein:2010,further_ref
achinstein:1985,asquith-kitcher:1985,depends_on
achinstein:1986,achinstein:1991,further_ref
achinstein:1987,achinstein:1991,further_ref
achinstein:1987a,achinstein:1991,further_ref
achinstein:1990,achinstein:1991,further_ref
achinstein:1990a,achinstein:1991,further_ref
achinstein:1991a,achinstein:1991,depends_on
achinstein:1991b,achinstein:1991,depends_on
achinstein:1991c,achinstein:1991,depends_on
achinstein:1991d,achinstein:1991,depends_on
achinstein:1991e,achinstein:1991,depends_on
achinstein:1991f,achinstein:1991,depends_on
achinstein:1993a,achinstein:2010,further_ref
achinstein:1993a,hull_dl-etal:1993,depends_on
achinstein:1994,achinstein:2010,further_ref
achinstein:1994,hull_dl-etal:1994a,depends_on
achinstein:1994a,achinstein:2010,further_ref
achinstein:1997,dallachiara-etal:1997a,depends_on
achinstein:2000,achinstein:2010,further_ref
achinstein:2000a,fetzer_jh:2000,depends_on
achinstein:2001a,achinstein:2010,further_ref
achinstein:2001a,balashov-rosenberg:2001,depends_on
achinstein:2001b,achinstein:2010,further_ref
achinstein:2001b,buchwald_jz-warwick:2001,depends_on
achinstein:2001c,newtonsmith:2001,depends_on
achinstein:2002,achinstein:2010,further_ref
achinstein:2008,psillos-curd:2008,depends_on
achinstein:2010a,achinstein:2010,depends_on
achinstein:2010b,achinstein:2010,depends_on
achinstein:2010c,achinstein:1982,further_ref
achinstein:2010c,achinstein:2010,depends_on
achinstein:2010d,achinstein:2010,further_ref
achinstein:2011,bernecker-pritchard:2011,depends_on
achinstein:2024,lasonenaarnio-littlejohn:2024,depends_on
achourioti-etal:2015a,achourioti-etal:2015,depends_on
achourioti:2011,pelis-puncochar:2011,depends_on
achtenberg:1991,anton_jp-preus:1991,depends_on
achutti-etal:2021,coyle_mj-scott:2021,depends_on
acid-etal:1991,kruse_r-siegel:1991,depends_on
acik:2011,tymieniecka:2011b,depends_on
