id,institution_key,name_latex,name_unicode,default_address
81,department_of_computer_science_university_of_iowa,"Department of Computer Science, University of Iowa","Department of Computer Science, University of Iowa",
82,philosophy_department_carnegie_mellon_university,"Philosophy Department, Carnegie Mellon University","Philosophy Department, Carnegie Mellon University",
83,cognitive_science_laboratory_princeton_university,"Cognitive Science Laboratory, Princeton University","Cognitive Science Laboratory, Princeton University",
84,gmd_ipsi,GMD-IPSI,GMD-IPSI,
85,advanced_computational_methods_center_university_of_georgia,"Advanced Computational Methods Center, University of Georgia","Advanced Computational Methods Center, University of Georgia",
86,london_school_of_economics,London School of Economics,London School of Economics,
87,institute_for_logic_cognition_language_and_information_university_of_the_basque_country,"Institute for Logic, Cognition, Language, and Information, University of the Basque Country","Institute for Logic, Cognition, Language, and Information, University of the Basque Country",
88,university_of_pennsylvania_institute_for_research_in_cognitive_science,University of Pennsylvania Institute for Research in Cognitive Science,University of Pennsylvania Institute for Research in Cognitive Science,
89,system_development_corporation,System Development Corporation,System Development Corporation,
90,department_of_mathematics_university_of_amsterdam,"Department of Mathematics, University of Amsterdam","Department of Mathematics, University of Amsterdam",
91,deutsches_forschungszentrum_f_u_r_k_u_nstliche_intelligenz_german_research_center_for_artificial_intelligence,"Deutsches Forschungszentrum f{\""u}r K{\""u}nstliche Intelligenz, German Research Center for Artificial Intelligence","Deutsches Forschungszentrum für Künstliche Intelligenz, German Research Center for Artificial Intelligence",
92,philosophy_department_university_of_arizona,"Philosophy Department, University of Arizona","Philosophy Department, University of Arizona",
93,artificial_intelligence_laboratory_schlumberger_palo_alto_research,"Artificial Intelligence Laboratory, Schlumberger Palo Alto Research","Artificial Intelligence Laboratory, Schlumberger Palo Alto Research",
94,departmemt_of_social_science_informatics_university_of_amsterdam,"Departmemt of Social Science Informatics, University of Amsterdam","Departmemt of Social Science Informatics, University of Amsterdam",
95,theoretical_computer_science_research_group,Theoretical Computer Science Research Group,Theoretical Computer Science Research Group,
96,syntax_research_center_cowell_college_university_of_california_at_santa_cruz,"Syntax Research Center, Cowell College, University of California at Santa Cruz","Syntax Research Center, Cowell College, University of California at Santa Cruz",
97,department_of_computer_and_information_science_university_of_pennsylvania,"Department of Computer and Information Science, University of Pennsylvania","Department of Computer and Information Science, University of Pennsylvania",
98,department_of_computer_science_university_of_texas_at_austin,"Department of Computer Science, University of Texas at Austin","Department of Computer Science, University of Texas at Austin",
99,school_of_computer_studies_university_of_leeds,"School of Computer Studies, University of Leeds","School of Computer Studies, University of Leeds",
100,university_of_edinburgh_department_of_artificial_intelligence,"University of Edinburgh, Department of Artificial Intelligence","University of Edinburgh, Department of Artificial Intelligence",
101,department_of_computer_science_the_hebrew_university_of_jerusalem,"Department of Computer Science, The Hebrew University of Jerusalem","Department of Computer Science, The Hebrew University of Jerusalem",
102,learning_research_and_development_center_university_of_pittsburgh,"Learning Research and Development Center, University of Pittsburgh","Learning Research and Development Center, University of Pittsburgh",
103,centrum_voor_wiskunde_en_informatica_report_sen_r9842,"Centrum voor Wiskunde en Informatica, Report SEN-R9842","Centrum voor Wiskunde en Informatica, Report SEN-R9842",
104,research_institute_for_language_and_speech_rijksuniversiteit_utrecht,"Research Institute for Language and Speech, Rijksuniversiteit Utrecht","Research Institute for Language and Speech, Rijksuniversiteit Utrecht",
105,stanford_artificial_intelligence_laboratory_stanford_university,"Stanford Artificial Intelligence Laboratory, Stanford University","Stanford Artificial Intelligence Laboratory, Stanford University",
106,department_of_mathematics_university_of_utrecht,"Department of Mathematics, University of Utrecht","Department of Mathematics, University of Utrecht",
107,washington_university,Washington University,Washington University,
108,department_of_philosophy_university_of_auckland,"Department of Philosophy, University of Auckland","Department of Philosophy, University of Auckland",
109,d_e_partement_de_philosophie_universit_e_de_gen_e_ve,"D{\'e}partement de philosophie, Universit{\'e} de Gen{\`e}ve","Département de philosophie, Université de Genève",
110,computation_laboratory_of_harvard_university,Computation Laboratory of Harvard University,Computation Laboratory of Harvard University,
