id,publisher_key,name_latex,name_unicode,default_address
144,universite-de-neuchatel,Universit{\'e} de Neuch{\^a}tel,Université de Neuchâtel,
145,universitat-bern,"Universit{\""a}t Bern",Universität Bern,
146,university-african-studies-center,University African Studies Center,University African Studies Center,
147,university-of-geneva,University of Geneva,University of Geneva,
148,verlag-der-osterreichischen-akademie-der-wissenschaften,"Verlag der {\""o}sterreichischen Akademie der Wissenschaften",Verlag der österreichischen Akademie der Wissenschaften,
149,verlag-der-polnischen-philosophischen-gesellschaft-in-lemberg,Verlag der Polnischen Philosophischen Gesellschaft in Lemberg,Verlag der Polnischen Philosophischen Gesellschaft in Lemberg,
150,verlag-der-wissenschaftlichen-gesellschaften-osterreichs,"Verlag der wissenschaftlichen Gesellschaften {\""O}sterreichs",Verlag der wissenschaftlichen Gesellschaften Österreichs,
151,verlag-des-instituts-fur-sprachwissenschaft-der-universitat-innsbruck,"Verlag des Instituts f{\""u}r Sprachwissenschaft der Universit{\""a}t Innsbruck",Verlag des Instituts für Sprachwissenschaft der Universität Innsbruck,
152,verlage-der-realschulbuchhandlung,Verlage der Realschulbuchhandlung,Verlage der Realschulbuchhandlung,
153,wydawnictwa-kola-matematyczno-fizycznego-sluchaczow-universytetu-warszawskiego,Wydawnictwa Kola Matematyczno-Fizycznego Sluchacz{\'o}w Universytetu Warszawskiego,Wydawnictwa Kola Matematyczno-Fizycznego Sluchaczów Universytetu Warszawskiego,
154,wydawnictwo-polskiej-akademii-nauk,Wydawnictwo Polskiej Akademii Nauk,Wydawnictwo Polskiej Akademii Nauk,
155,wydawnictwo-uniwersytetu-marii-curie-sklodowskiej,Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej,Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej,
156,aron-publishers,{\'A}ron Publishers,Áron Publishers,
157,ecole-des-hautes-etudes-en-sciences-sociales,{\'E}cole des Hautes Etudes en Sciences Sociales,École des Hautes Etudes en Sciences Sociales,
158,edition-de-boeck-wesmael,{\'E}dition de Boeck-Wesmael,Édition de Boeck-Wesmael,
159,edition-orphyrs-and-editions-de-la-msh,{\'E}dition Orphyrs and {\'E}ditions de la MSH,Édition Orphyrs and Éditions de la MSH,
160,editions-eres,{\'E}ditions {\'E}r{\`e}s,Éditions Érès,
161,editions-esprit,{\'E}ditions {\'e}sprit,Éditions ésprit,
162,editions-1018,{\'E}ditions 10/18,Éditions 10/18,
163,editions-amsterdam-multitudes,{\'E}ditions Amsterdam / Multitudes,Éditions Amsterdam / Multitudes,
164,editions-belin,{\'E}ditions Belin,Éditions Belin,
165,editions-bordas,{\'E}ditions Bordas,Éditions Bordas,
166,editions-crater,{\'E}ditions Crater,Éditions Crater,
167,editions-criterion,{\'E}ditions Criterion,Éditions Criterion,
168,editions-d-albret,{\'E}ditions d'Albret,Éditions d'Albret,
169,editions-de-beauvoir,{\'E}ditions de Beauvoir,Éditions de Beauvoir,
170,editions-de-champtin,{\'E}ditions de Champtin,Éditions de Champtin,
171,editions-de-fallois,{\'E}ditions de Fallois,Éditions de Fallois,
172,editions-de-l-eclat,{\'E}ditions de l'{\'E}clat,Éditions de l'Éclat,
173,editions-de-l-aire,{\'E}ditions de l'Aire,Éditions de l'Aire,
174,editions-de-l-atelier,{\'E}ditions de l'Atelier,Éditions de l'Atelier,
175,editions-de-l-aube,{\'E}ditions de l'Aube,Éditions de l'Aube,
176,editions-de-l-imprimeur,{\'E}ditions de l'Imprimeur,Éditions de l'Imprimeur,
177,editions-de-l-institut-superieur-de-philosophie,{\'E}ditions de l'Institut sup{\'e}rieur de philosophie,Éditions de l'Institut supérieur de philosophie,
178,editions-de-l-universite-de-bruxelles,{\'E}ditions de l'Universit{\'e} de Bruxelles,Éditions de l'Université de Bruxelles,
179,editions-de-l-universite-de-ottawa,{\'E}ditions de l'Universit{\'e} de Ottawa,Éditions de l'Université de Ottawa,
180,editions-de-la-baconniere,{\'E}ditions de la Baconni{\`e}re,Éditions de la Baconnière,
181,editions-de-la-bml,{\'E}ditions de la BML,Éditions de la BML,
