id,publisher_key,name_latex,name_unicode,default_address
737,european-cultural-center-of-delphi,European Cultural Center of Delphi,European Cultural Center of Delphi,
738,evangelischer-verlag,Evangelischer Verlag,Evangelischer Verlag,
739,everymans-library,Everyman's Library,Everyman's Library,
740,ex-libris,Ex Libris,Ex Libris,
741,exils,Exils,Exils,
742,exposition-press,Exposition Press,Exposition Press,
743,fx-de-guibert,F-X.~de Guibert,F-X. de Guibert,
744,f-hazan,F.~Hazan,F. Hazan,
745,f-hirt,F.~Hirt,F. Hirt,
746,f-kries,F.~Kries,F. Kries,
747,f-perella,F.~Perella,F. Perella,
748,fa-brockhaus,F.A.~Brockhaus,F.A. Brockhaus,
749,fc-and-j-rivington,F.C.~and J.~Rivington,F.C. and J. Rivington,
750,felin,F{\'e}lin,Félin,
751,felix-alcan-editeur,F{\'e}lix Alcan {\'E}diteur,Félix Alcan Éditeur,
752,faculte-des-lettres-strasbourg,Commission des publications de la Facult{\'e} des lettres,Commission des publications de la Faculté des lettres,
753,faculte-des-sciences-humaines-et-sociales-tunis,Facult{\'e} des Sciences Humaines et Sociales,Faculté des Sciences Humaines et Sociales,
754,facultad-de-teologia-san-vincente-ferrer,"Facultad de Teologia ``San Vincente Ferrer''\,",Facultad de Teologia “San Vincente Ferrer”,
755,facultas-verlags-und-buchhandels-ag,Facultas Verlags- und Buchhandels AG,Facultas Verlags- und Buchhandels AG,
756,faculty-of-humanities-and-social-sciences-university-of-rijeka,"Faculty of Humanities {and} Social Sciences, University of Rijeka","Faculty of Humanities and Social Sciences, University of Rijeka",
757,fage-edition,Fage {\'e}dition,Fage édition,
758,fairleigh-dickinson-university-press,Fairleigh Dickinson University Press,Fairleigh Dickinson University Press,
759,falmer-press,Falmer Press,Falmer Press,
760,farrago,Farrago,Farrago,
761,farrar-straus-cudahy-inc,"Farrar, Straus \& Cudahy, Inc.","Farrar, Straus & Cudahy, Inc.",
762,farrar-straus-giroux,"Farrar, Straus \& Giroux","Farrar, Straus & Giroux",
763,federation-press,Federation Press,Federation Press,
764,felix-meiner-verlag,Felix Meiner Verlag,Felix Meiner Verlag,
765,ferd-dummlers-verlagsbuchhandlung,"Ferd.~D{\""u}mmlers Verlagsbuchhandlung",Ferd. Dümmlers Verlagsbuchhandlung,
766,ferdinand-enke,Ferdinand Enke,Ferdinand Enke,
767,ferdinand-schoningh,"Ferdinand Sch{\""o}ningh",Ferdinand Schöningh,
768,fides,Fides,Fides,
769,fischbacher,Fischbacher,Fischbacher,
770,fischer-verlag,Fischer Verlag,Fischer Verlag,
771,flammarion,Flammarion,Flammarion,
772,florida-section-of-the-maa,Florida Section of the MAA,Florida Section of the MAA,
773,focus-publishing,Focus Publishing,Focus Publishing,
774,folle-avoine,Folle avoine,Folle avoine,
775,fontaine,Fontaine,Fontaine,
776,fontana-press,Fontana Press,Fontana Press,
777,fordham-university-press,Fordham University Press,Fordham University Press,
778,foris-publications,Foris Publications,Foris Publications,
779,forschungsstelle-und-dokumentationszentrum-fur-osterreichische-philosophie,"Forschungsstelle und Dokumentationszentrum f{\""u}r {\""O}sterreichische Philosophie",Forschungsstelle und Dokumentationszentrum für Österreichische Philosophie,
780,forskningsadsnamen,"Forsknings{\aa}dsn{\""a}men",Forskningsådsnämen,
781,fortress-academic,Fortress Academic,Fortress Academic,
782,fortress-press,Fortress Press,Fortress Press,
783,fourier-verlag,Fourier Verlag,Fourier Verlag,
784,francis-cairns,Francis Cairns,Francis Cairns,
785,franciscan-herald-press,Franciscan Herald Press,Franciscan Herald Press,
786,francke-verlag,Francke Verlag,Francke Verlag,
787,franco-angeli,Franco Angeli,Franco Angeli,
788,frank-cass,Frank Cass,Frank Cass,
789,franz-deuticke,Franz Deuticke,Franz Deuticke,
790,franz-duncker,Franz Duncker,Franz Duncker,
791,franz-steiner-verlag,Franz Steiner Verlag,Franz Steiner Verlag,
792,free-association-books,Free Association Books,Free Association Books,
793,fri-tanke-forlag,"Fri tanke f{\""o}rlag",Fri tanke förlag,
794,friedrich-frommann-verlag-gunther-holzboog,"Friedrich Frommann Verlag - G{\""u}nther Holzboog",Friedrich Frommann Verlag - Günther Holzboog,
795,friedrich-nicolai,Friedrich Nicolai,Friedrich Nicolai,
796,friedrich-nicolovius,Friedrich Nicolovius,Friedrich Nicolovius,
797,frison-roche,Frison-Roche,Frison-Roche,
798,fritz-eckardt-verlag,Fritz Eckardt Verlag,Fritz Eckardt Verlag,
799,frommannholzboog,frommann-holzboog,frommann-holzboog,
800,fundacion-canaria-orotava-de-historia-de-la-ciencia,Fundaci{\'o}n Canaria Orotava de Historia de la Ciencia,Fundación Canaria Orotava de Historia de la Ciencia,
801,futuribles,Futuribles,Futuribles,
802,g-barbera-editore,G.~Barber{\`a} Editore,G. Barberà Editore,
803,gc-sansoni-editore,G.C.~Sansoni Editore,G.C. Sansoni Editore,
804,gp-putnam,G.P.~Putnam,G.P. Putnam,
805,gunter-narr-verlag,"G{\""u}nter Narr Verlag",Günter Narr Verlag,
806,galilee,Galil{\'e}e,Galilée,
807,gallimard,Gallimard,Gallimard,
808,galludet-university-press,Galludet University Press,Galludet University Press,
809,gardenz-verlag,Gardenz! Verlag,Gardenz! Verlag,
810,garland-publishing-co,Garland Publishing Co.,Garland Publishing Co.,
811,garzanti,Garzanti,Garzanti,
812,gauthier-villars-editeur,Gauthier Villars {\'E}diteur,Gauthier Villars Éditeur,
813,gauthier-villars-et-cie,Gauthier-Villars et cie,Gauthier-Villars et cie,
814,gauthier-villars-et-fils,Gauthier-Villars et fils,Gauthier-Villars et fils,
815,gebr-mann,Gebr.~Mann,Gebr. Mann,
816,gedisa-editorial,Gedisa Editorial,Gedisa Editorial,
817,geo-h-ellis,Geo H.~Ellis,Geo H. Ellis,
818,geoffrey-chapman,Geoffrey Chapman,Geoffrey Chapman,
819,georg-olms,Georg Olms,Georg Olms,
820,george-allen-unwin,George Allen \& Unwin,George Allen & Unwin,
821,george-banta,George Banta,George Banta,
822,georgetown-university-press,Georgetown University Press,Georgetown University Press,
823,gerald-duckworth-co,Gerald Duckworth \& Co.,Gerald Duckworth & Co.,
824,gerhard-fleischer,Gerhard Fleischer,Gerhard Fleischer,
825,gerold-co,Gerold \& Co,Gerold & Co,
826,giardini-editori-e-stampatori,Giardini Editori e Stampatori,Giardini Editori e Stampatori,
827,gill,Gill,Gill,
828,gilles-attinger,Gilles Attinger,Gilles Attinger,
829,ginn-and-co,Ginn {and} Co.,Ginn and Co.,
830,gistel,Gistel,Gistel,
831,giuffre,Giuffr{\`e},Giuffrè,
832,giulio-einaudi-editore-spa,Giulio Einaudi editore s.p.a.,Giulio Einaudi editore s.p.a.,
833,giunti,Giunti,Giunti,
834,glenlake-publishing-company-ltd,"Glenlake Publishing Company, Ltd.","Glenlake Publishing Company, Ltd.",
835,glsa-publications,GLSA Publications,GLSA Publications,
836,glyphe-biotem,Glyphe \& Biotem,Glyphe & Biotem,
837,gmeiner-verlag,Gmeiner Verlag,Gmeiner Verlag,
838,gmelin-verlag-gmb-h,Gmelin-Verlag GmbH,Gmelin-Verlag GmbH,
839,gonthier,Gonthier,Gonthier,
840,gordon-breach,Gordon \& Breach,Gordon & Breach,
841,gotthelf-kummer,Gotthelf Kummer,Gotthelf Kummer,
842,gotthold-muller,"Gotthold M{\""u}ller",Gotthold Müller,
843,gottlieb-haase,Gottlieb Haase,Gottlieb Haase,
844,gower-publishing-company,Gower Publishing Company,Gower Publishing Company,
845,gracewing,Gracewing,Gracewing,
846,grand-midi,Grand Midi,Grand Midi,
847,granta,Granta,Granta,
848,grasset,Grasset,Grasset,
849,greenwood-press,Greenwood Press,Greenwood Press,
850,gregorian-university-press,Gregorian University Press,Gregorian University Press,
851,gregoriana,Gregoriana,Gregoriana,
852,grove-press,Grove Press,Grove Press,
853,grune-stratton,Grune \& Stratton,Grune & Stratton,
854,guadagnini,Guadagnini,Guadagnini,
855,guilford-press,Guilford Press,Guilford Press,
856,gylendal,Gylendal,Gylendal,
857,h-buske,H.~Buske,H. Buske,
858,hw-wilson-company,H.W.~Wilson Company,H.W. Wilson Company,
859,hansel-hohenhausen,"H{\""a}nsel-Hohenhausen",Hänsel-Hohenhausen,
860,holder-pichler-tempsky,"H{\""o}lder-Pichler-Tempsky",Hölder-Pichler-Tempsky,
861,hachette,Hachette,Hachette,
862,hachette-litteratures,Hachette Litt{\'e}ratures,Hachette Littératures,
863,hackett-publishing-co,Hackett Publishing Co.,Hackett Publishing Co.,
864,haffmans-verlag,Haffmans Verlag,Haffmans Verlag,
865,haldeman-julius-publications,Haldeman-Julius Publications,Haldeman-Julius Publications,
866,hallescher-verlag,Hallescher Verlag,Hallescher Verlag,
867,hamish-hamilton-ltd,Hamish Hamilton Ltd.,Hamish Hamilton Ltd.,
868,hans-huber,Hans Huber,Hans Huber,
869,hansischer-gildenverlag-joachim-heitmann-und-co,Hansischer Gildenverlag (Joachim Heitmann und Co.),Hansischer Gildenverlag (Joachim Heitmann und Co.),
870,harassowitz-verlag,Harassowitz Verlag,Harassowitz Verlag,
871,harcourt-brace,Harcourt \& Brace,Harcourt & Brace,
872,harcourt-brace-jovanovich,Harcourt Brace Jovanovich,Harcourt Brace Jovanovich,
873,harcourt-science-and-technology,Harcourt Science {and} Technology,Harcourt Science and Technology,
874,harcourt-brace-world,"Harcourt, Brace \& World","Harcourt, Brace & World",
875,hardwired,Hardwired,Hardwired,
876,harmondsworth,Harmondsworth,Harmondsworth,
877,harper-brothers,Harper \& Brothers,Harper & Brothers,
878,harper-row,Harper \& Row,Harper & Row,
879,harper-collins,Harper Collins,Harper Collins,
880,harpo,Harpo,Harpo,
881,harrison-and-sons,Harrison {and} Sons,Harrison and Sons,
882,hart-publishing,Hart Publishing,Hart Publishing,
883,hartleben,Hartleben,Hartleben,
884,hartmann,Hartmann,Hartmann,
885,harvard-university-press,Harvard University Press,Harvard University Press,
886,harvest,Harvest,Harvest,
887,harvester-press,Harvester Press,Harvester Press,
888,harvester-wheatsheaf,Harvester Wheatsheaf,Harvester Wheatsheaf,
889,hase-v-koehler-verlag,Hase V. Koehler Verlag,Hase V. Koehler Verlag,
890,haskell-house-pub-ltd,Haskell House Pub Ltd,Haskell House Pub Ltd,
891,hastings-center,Hastings Center,Hastings Center,
892,hatier,Hatier,Hatier,
893,hatier-boivin,Hatier-Boivin,Hatier-Boivin,
894,haven-publications,Haven Publications,Haven Publications,
895,heffer-sons,Heffer \& Sons,Heffer & Sons,
896,heiderhoff,Heiderhoff,Heiderhoff,
897,helbing-lichtenhahn-verlag,Helbing \& Lichtenhahn Verlag,Helbing & Lichtenhahn Verlag,
898,heller,Heller,Heller,
899,hemisphere-publishing-corp,Hemisphere Publishing Corp.,Hemisphere Publishing Corp.,
900,hemmerde,Hemmerde,Hemmerde,
901,henry-holt-and-co,Henry Holt {and} Co.,Henry Holt and Co.,
902,henry-holt-rhinehart-and-winston-inc,"Henry Holt, Rhinehart {and} Winston, Inc.","Henry Holt, Rhinehart and Winston, Inc.",
903,henry-kundig,"Henry K{\""u}ndig",Henry Kündig,
904,henry-regnery-company,Henry Regnery Company,Henry Regnery Company,
905,herder,Herder,Herder,
906,hermes,Herm{\`e}s,Hermès,
907,hermes-lavoisier,Herm{\`e}s-Lavoisier,Hermès-Lavoisier,
908,hermann-cie,Hermann \& cie,Hermann & cie,
909,hermann-pohle,Hermann Pohle,Hermann Pohle,
910,herzog-august-bibliothek-wolfenbuttel,"Herzog August Bibliothek Wolfenb{\""u}ttel",Herzog August Bibliothek Wolfenbüttel,
911,heuris-tech-press,HeurisTech Press,HeurisTech Press,
912,heymans,Heymans,Heymans,
913,hill-and-wang,Hill {and} Wang,Hill and Wang,
914,hind-kitabs-limited,Hind Kitabs Limited,Hind Kitabs Limited,
915,hodder-stoughton,Hodder \& Stoughton,Hodder & Stoughton,
916,hodges-and-smith,Hodges {and} Smith,Hodges and Smith,
917,hoffmann-und-campe-verlag,Hoffmann und Campe Verlag,Hoffmann und Campe Verlag,
918,hohenhausen-ag,Hohenhausen AG,Hohenhausen AG,
919,holden-day,Holden Day,Holden Day,
920,holmes,Holmes,Holmes,
921,honore-champion-editeur,Honor{\'e} Champion {\'e}diteur,Honoré Champion éditeur,
922,horlieu-editions,Horlieu {\'e}ditions,Horlieu éditions,
923,hosei-university-press,Hosei University Press,Hosei University Press,
924,houghton-mifflin-co,Houghton Mifflin Co.,Houghton Mifflin Co.,
925,hueber,Hueber,Hueber,
926,humanities-press,Humanities Press,Humanities Press,
927,humanities-ebooks,Humanities-Ebooks,Humanities-Ebooks,
928,humanity-books,Humanity Books,Humanity Books,
929,humboldt-verlag,Humboldt Verlag,Humboldt Verlag,
930,humphrey-milford,Humphrey Milford,Humphrey Milford,
931,hurtubise-hmh,Hurtubise hmh,Hurtubise hmh,
932,hutchinson-co,Hutchinson \& Co.,Hutchinson & Co.,
933,hutchinson-university-library,Hutchinson University Library,Hutchinson University Library,
934,ib-tauris,I.B.~Tauris,I.B. Tauris,
935,ibm,IBM,IBM,
936,ibm-deutschland,IBM Deutschland,IBM Deutschland,
937,icon,Icon,Icon,
938,idg-books-worldwide-inc,"IDG Books Worldwide, Inc.","IDG Books Worldwide, Inc.",
939,ifomis,IFOMIS,IFOMIS,
940,il-mulino,Il Mulino,Il Mulino,
941,il-poligrafo,Il Poligrafo,Il Poligrafo,
942,ilaoalma,ILA-OALMA,ILA-OALMA,
943,illife,Illife,Illife,
944,ime,Im{\'e},Imé,
945,images-modernes,Images modernes,Images modernes,
946,imperial-college-press,Imperial College Press,Imperial College Press,
947,imprimerie-g-neveu,Imprimerie G.~Neveu,Imprimerie G. Neveu,
948,imprint-academic,Imprint Academic,Imprint Academic,
949,in-press,In-Press,In-Press,
950,indian-council-of-philosophical-research,Indian Council of Philosophical Research,Indian Council of Philosophical Research,
951,indiana-editore,Indiana Editore,Indiana Editore,
952,indiana-university-linguistics-club,Indiana University Linguistics Club,Indiana University Linguistics Club,
953,indiana-university-press,Indiana University Press,Indiana University Press,
954,information-science,Information Science,Information Science,
955,ingenium-publishers,Ingenium Publishers,Ingenium Publishers,
956,innsbrucker-theologische-studien,Innsbrucker theologische Studien,Innsbrucker theologische Studien,
957,innys-regiae-societatis-typographos,"Innys, Regiae Societatis typographos","Innys, Regiae Societatis typographos",
958,insel,Insel,Insel,
959,institut-alain,Institut Alain,Institut Alain,
960,institut-detudes-augustiniennes,Institut d'{\'e}tudes augustiniennes,Institut d'études augustiniennes,
961,institut-du-monde-arabe,Institut du Monde Arabe,Institut du Monde Arabe,
962,institut-fur-maschinelle-sprachverarbeitung-universitat-stuttgart,"Institut f{\""u}r maschinelle Sprachverarbeitung, Universit{\""a}t Stuttgart","Institut für maschinelle Sprachverarbeitung, Universität Stuttgart",
963,institut-international-de-philosophie,Institut International de Philosophie,Institut International de Philosophie,
964,institut-interuniversitaire-inu-press,Institut Interuniversitaire (INU press),Institut Interuniversitaire (INU press),
965,institut-national-detudes-demographiques,Institut national d'{\'e}tudes d{\'e}mographiques,Institut national d'études démographiques,
966,institut-national-de-la-recherche-pedagogique,Institut National de la Recherche P{\'e}dagogique,Institut National de la Recherche Pédagogique,
967,institut-national-de-recherche-en-informatique-et-en-automatique,Institut National de Recherche en Informatique et en Automatique,Institut National de Recherche en Informatique et en Automatique,
968,institute-for-advanced-studies-in-humanities-and-social-sciences-national-university-of-taiwan,"Institute for Advanced Studies in Humanities {and} Social Sciences, National University of Taiwan","Institute for Advanced Studies in Humanities and Social Sciences, National University of Taiwan",
969,institute-for-advanced-studies-in-the-humanities,Institute for Advanced Studies in the Humanities,Institute for Advanced Studies in the Humanities,
970,institute-for-advanced-studies-in-the-humanities-university-of-edinburgh,"Institute for Advanced Studies in the Humanities, University of Edinburgh","Institute for Advanced Studies in the Humanities, University of Edinburgh",
971,institute-for-language-technology-and-ai-tilburg-university,"Institute for Language Technology {and} AI, Tilburg University","Institute for Language Technology and AI, Tilburg University",
972,institute-for-logic-cognition-language-and-information-university-of-the-basque-country,"Institute for Logic, Cognition, Language, {and} Information, University of the Basque Country","Institute for Logic, Cognition, Language, and Information, University of the Basque Country",
973,institute-for-logic-language-and-computation-university-of-amsterdam,"Institute for Logic, Language, {and} Computation, University of Amsterdam","Institute for Logic, Language, and Computation, University of Amsterdam",
974,institute-for-research-in-cognitive-science-university-of-pennsylvania,"Institute for Research in Cognitive Science, University of Pennsylvania","Institute for Research in Cognitive Science, University of Pennsylvania",
975,institute-of-classical-studies-school-of-advanced-study-university-of-london,"Institute of Classical Studies, School of Advanced Study, University of London","Institute of Classical Studies, School of Advanced Study, University of London",
976,institute-of-european-and-american-studies-academia-sinica,"Institute of European {and} American Studies, Academia Sinica","Institute of European and American Studies, Academia Sinica",
977,institute-of-mathematics-university-of-oslo,"Institute of Mathematics, University of Oslo","Institute of Mathematics, University of Oslo",
978,institute-of-philosophy-of-the-hungarian-academy-of-science,Institute of Philosophy of the Hungarian Academy of Science,Institute of Philosophy of the Hungarian Academy of Science,
979,institute-vienna-circle-society-for-the-advancement-of-the-scientific-world-conception,Institute Vienna Circle.~Society for the Advancement of the Scientific World Conception,Institute Vienna Circle. Society for the Advancement of the Scientific World Conception,
980,instituto-de-humanidades-universidad-nacional-del-sur,"Instituto de Humanidades, Universidad Nacional del Sur","Instituto de Humanidades, Universidad Nacional del Sur",
981,instituto-de-investigaciones-filosoficas-universidad-nacional-autonoma-de-mexico,"Instituto de Investigaciones Filos{\'o}ficas, Universidad Nacional Aut{\'o}noma de Mexico","Instituto de Investigaciones Filosóficas, Universidad Nacional Autónoma de Mexico",
982,instituto-mitteleuropeo-di-cultura,Instituto Mitteleuropeo di Cultura,Instituto Mitteleuropeo di Cultura,
983,intel-windcrest,Intel/Windcrest,Intel/Windcrest,
984,intellect-publishing,Intellect Publishing,Intellect Publishing,
985,inter-editions,InterEditions,InterEditions,
986,international-thomson-computer-press,International Thomson Computer Press,International Thomson Computer Press,
987,international-universities-press,International Universities Press,International Universities Press,
988,internationaler-psychoanalytischer-verlag,Internationaler psychoanalytischer Verlag,Internationaler psychoanalytischer Verlag,
989,interscience-publishers,Interscience Publishers,Interscience Publishers,
990,intersystems-publications,Intersystems Publications,Intersystems Publications,
991,inter-varsity-press,InterVarsity Press,InterVarsity Press,
992,intext-educational-publishers,Intext Educational Publishers,Intext Educational Publishers,
993,ios-press,IOS Press,IOS Press,
994,irish-academic-press,Irish Academic Press,Irish Academic Press,
995,irit-universite-paul-sabatier,IRIT Universit{\'e} Paul Sabatier,IRIT Université Paul Sabatier,
996,irvington-publishers,Irvington Publishers,Irvington Publishers,
997,isaac-troyel,Isaac Troyel,Isaac Troyel,
998,isi-books,ISI Books,ISI Books,
999,istem-jaca-book,Istem-Jaca Book,Istem-Jaca Book,
1000,istituto-per-la-ricerca-scientifica-e-technologica-irst,Istituto per la Ricerca Scientifica e Technologica (IRST),Istituto per la Ricerca Scientifica e Technologica (IRST),
1001,itaca-libri,ITACA libri,ITACA libri,
1003,iuscrim,iuscrim,iuscrim,
1004,iustus,Iustus,Iustus,
1005,je-hallier,J.-E.~Hallier,J.-E. Hallier,
1006,jp-migne,J.-P.~Migne,J.-P. Migne,
1007,j-dinter,J.~Dinter,J. Dinter,
1008,j-dodsley,J.~Dodsley,J. Dodsley,
1009,j-dzielwuski,J.~Dzielwuski,J. Dzielwuski,
1010,j-gabay,J.~Gabay,J. Gabay,
1011,j-grancher,J.~Grancher,J. Grancher,
1012,j-hayes,J.~Hayes,J. Hayes,
1013,j-schreuder-pierre-mortier,J.~Schreuder \& Pierre Mortier,J. Schreuder & Pierre Mortier,
1014,j-schweitzer-verlag,J.~Schweitzer Verlag,J. Schweitzer Verlag,
1015,j-smith-and-w-bruce,J.~Smith {and} W.~Bruce,J. Smith and W. Bruce,
1016,jb-metzler,J.B.~Metzler,J.B. Metzler,
1017,mohr-siebeck,J.C.B.~Mohr (Paul Siebeck),J.C.B. Mohr (Paul Siebeck),
1018,j-chr-hermann,J.Chr.~Hermann,J.Chr. Hermann,
1019,jf-steinkopf,J.F.~Steinkopf,J.F. Steinkopf,
1020,jh-roll,"J.H.~R{\""o}ll",J.H. Röll,
1021,jj-tourneisen,J.J.~Tourneisen,J.J. Tourneisen,
1022,jl-schrag,J.L.~Schrag,J.L. Schrag,
1023,jacob-tonson,Jacob Tonson,Jacob Tonson,
1024,jagiellonian-university-press,Jagiellonian University Press,Jagiellonian University Press,
1025,james-clarke-co,James Clarke \& Co.,James Clarke & Co.,
1026,james-knapton,James Knapton,James Knapton,
1027,james-maclehose-sons,James Maclehose \& Sons,James Maclehose & Sons,
1028,james-thin-longmans-green,"James Thin; Longmans, Green","James Thin; Longmans, Green",
1029,jan-rieuwertsz,Jan Rieuwertsz,Jan Rieuwertsz,
1030,jason-aronson,Jason Aronson,Jason Aronson,
1031,jean-piaget-archives-foundation,Jean Piaget Archives Foundation,Jean Piaget Archives Foundation,
1032,joh-christian-langenheim,Joh.~Christian Langenheim,Joh. Christian Langenheim,
1033,johann-ambrosius-barth,Johann Ambrosius Barth,Johann Ambrosius Barth,
1034,johann-friedrich-gleditsch,Johann Friedrich Gleditsch,Johann Friedrich Gleditsch,
1035,johann-friedrich-hartknoch,Johann Friedrich Hartknoch,Johann Friedrich Hartknoch,
1036,johann-friedrich-petersen,Johann Friedrich Petersen,Johann Friedrich Petersen,
1037,johann-heinrich-wilhelm-dietz,Johann Heinrich Wilhelm Dietz,Johann Heinrich Wilhelm Dietz,
1038,john-a-hawkins,John A.~Hawkins,John A. Hawkins,
1039,john-bell,John Bell,John Bell,
1040,john-benjamins-publishing-co,John Benjamins Publishing Co.,John Benjamins Publishing Co.,
1041,john-dickens-and-company,John Dickens {and} Company,John Dickens and Company,
1042,john-hopkins-university-press,John Hopkins University Press,John Hopkins University Press,
1043,john-knox-press,John Knox Press,John Knox Press,
1044,john-morphew,John Morphew,John Morphew,
1045,john-murray,John Murray,John Murray,
1046,john-noon-at-the-white-hart,"John Noon, at the White-Hart","John Noon, at the White-Hart",
1047,john-p-jewett-co,John P.~Jewett \& Co.,John P. Jewett & Co.,
1048,john-wiley-and-sons-inc,"John Wiley {and} Sons, Inc.","John Wiley and Sons, Inc.",
1049,john-wiley-interscience-university-of-delaware-press,John Wiley / Interscience / University of Delaware Press,John Wiley / Interscience / University of Delaware Press,
1050,john-wyat,John Wyat,John Wyat,
1051,jonathan-cape,Jonathan Cape,Jonathan Cape,
1052,jones-and-bartlett-publishers,Jones {and} Bartlett Publishers,Jones and Bartlett Publishers,
1053,jorge-zahar-editor,Jorge Zahar Editor,Jorge Zahar Editor,
1054,josef-anton-gebhardt,Josef Anton Gebhardt,Josef Anton Gebhardt,
1055,josiah-macy-foundation,Josiah Macy Foundation,Josiah Macy Foundation,
1056,jossey-bass,Jossey-Bass,Jossey-Bass,
1057,jp-tarcher,JP Tarcher,JP Tarcher,
1058,julius-springer,Julius Springer,Julius Springer,
1059,julliard,Julliard,Julliard,
1060,junius,Junius,Junius,
1061,junker-und-dunnhaupt,"Junker und D{\""u}nnhaupt",Junker und Dünnhaupt,
1062,jussu-societatis-regiae-ac-typis-josephi-streater,Jussu Societatis Regiae ac typis Josephi Streater,Jussu Societatis Regiae ac typis Josephi Streater,
1063,konigshausen-neumann,"K{\""o}nigshausen \& Neumann",Königshausen & Neumann,
1064,kosel-verlag,"K{\""o}sel Verlag",Kösel Verlag,
1065,kalinga-publications,Kalinga Publications,Kalinga Publications,
1066,karl-alber,Karl Alber,Karl Alber,
1067,karl-barth,Karl Barth,Karl Barth,
1068,karl-dietz-verlag,Karl Dietz Verlag,Karl Dietz Verlag,
1069,karoma-publishers,Karoma Publishers,Karoma Publishers,
1070,karthala,Karthala,Karthala,
1071,katz-editores,Katz Editores,Katz Editores,
1072,keele-university-library,Keele University Library,Keele University Library,
1073,kegan-paul-trench-co,"Kegan Paul, Trench \& Co.","Kegan Paul, Trench & Co.",
1074,kegan-paul-trench-trubner-co,"Kegan Paul, Trench, Tr{\""u}bner \& Co.","Kegan Paul, Trench, Trübner & Co.",
1075,kehot-publication-society,Kehot Publication Society,Kehot Publication Society,
1076,keio-university-press,Keio University Press,Keio University Press,
1077,ken-cook-publishing-co,Ken Cook Publishing Co.,Ken Cook Publishing Co.,
1078,kendall-hunt-publishing-co,Kendall/Hunt Publishing Co.,Kendall/Hunt Publishing Co.,
1079,kenkyusha,Kenkyusha,Kenkyusha,
1080,kent-state-university-press,Kent State University Press,Kent State University Press,
1081,kings-college-publications,King's College Publications,King's College Publications,
1082,kings-college-department-of-philosophy,"King's College, Department of Philosophy","King's College, Department of Philosophy",
1083,kings-hall-armstrong-college,"King's Hall, Armstrong College","King's Hall, Armstrong College",
1084,kit-scientific-publishing,KIT Scientific Publishing,KIT Scientific Publishing,
1085,klaus-boer,Klaus Boer,Klaus Boer,
1086,klett-cotta,Klett-Cotta,Klett-Cotta,
1087,klincksieck,Klincksieck,Klincksieck,
1088,kluwer-academic-publishers,Kluwer Academic Publishers,Kluwer Academic Publishers,
1089,kluwer-nijhoff-publishing,Kluwer Nijhoff Publishing,Kluwer Nijhoff Publishing,
1090,knecht,Knecht,Knecht,
1091,kobersche-verlagsbuchhandlung,Kober'sche Verlagsbuchhandlung,Kober'sche Verlagsbuchhandlung,
1092,koninklijke-nederlandse-akademie-van-wetenschappen,Koninklijke Nederlandse Akademie van Wetenschappen,Koninklijke Nederlandse Akademie van Wetenschappen,
1093,koninklijke-van-gorcum-comp,Koninklijke Van Gorcum \& Comp.,Koninklijke Van Gorcum & Comp.,
1094,kramer-hansen,"Kr{\""a}mer \& Hansen",Krämer & Hansen,
1095,krakauer-akademie-der-wissenschaften,Krakauer Akademie der Wissenschaften,Krakauer Akademie der Wissenschaften,
1096,kraus,Kraus,Kraus,
1097,krk-ediciones,KRK Ediciones,KRK Ediciones,
1098,kronberger-und-rziwnas,Kronberger und Rziwnas,Kronberger und Rziwnas,
1099,kroonder,Kroonder,Kroonder,
1100,kruseman,Kruseman,Kruseman,
1101,kruzak,Kruzak,Kruzak,
1102,ksiaznica-atlas,Ksi{\.{a}}{\k{z}}nica-Atlas,Ksiȧz̨nica-Atlas,
1103,kupferberg,Kupferberg,Kupferberg,
1104,kurt-wolff-verlag,Kurt Wolff Verlag,Kurt Wolff Verlag,
1105,l-scheer,L.~Scheer,L. Scheer,
1106,l-souny,L.~Souny,L. Souny,
1107,lgdj,L.G.D.J.,L.G.D.J.,
1108,lu-japadre-editore,L.U.~Japadre Editore,L.U. Japadre Editore,
1109,lechappee,L'{\'e}chapp{\'e}e,L'échappée,
1110,l-epos,L'Epos,L'Epos,
1111,l-esprit-frappeur,L'Esprit frappeur,L'Esprit frappeur,
1112,l-harmattan,L'Harmattan,L'Harmattan,
1113,l-harmattan-kiado,L'Harmattan Kiad{\'o},L'Harmattan Kiadó,
1114,l-herne,L'Herne,L'Herne,
1115,la-chasse-au-snark,La Chasse au snark,La Chasse au snark,
1116,la-difference,La diff{\'e}rence,La différence,
1117,la-dispute,La Dispute,La Dispute,
1118,la-fabrique,La Fabrique,La Fabrique,
1119,la-goliardica,La Goliardica,La Goliardica,
1120,la-haye,La Haye,La Haye,
1121,la-martiniere,La Martini{\'e}re,La Martiniére,
1122,la-nuova-italia,La Nuova Italia,La Nuova Italia,
1123,la-pre-au-clers,La Pr{\'e} au Clers,La Pré au Clers,
1124,labor,Labor,Labor,
1125,labor-et-fides,Labor et Fides,Labor et Fides,
1126,lambert-academic-publishing,Lambert Academic Publishing,Lambert Academic Publishing,
1127,lavoisier,Lavoisier,Lavoisier,
1128,lawrence-erlbaum-associates-inc,"Lawrence Erlbaum Associates, Inc.","Lawrence Erlbaum Associates, Inc.",
