bibkey,note_perso,note_stock,note_missing,change_request,dltc_copyediting_note,todo_general
abramson_k-leite:2014,,in file \citep{maurer_c-etal:2014},,,,
abramson_k-leite:2024,,in file \citep{grau_c-smuts:2024},,,,
abramson_k:2006,,,,WP16-GETDOIs,,
abramson_k:2007,,,,WP16-GETDOIs,,
abramson_k:2008,,in file \citep{radcliffe_es:2008},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470696583,,
abramson_k:2010,,,,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oxfordhb/9780199235018.001.0001,,
abramson_k:2016,,in file \citep{timmons:2016},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780198790587.001.0001,,
abrantes:2011,,in file \citep{krause_d-videira:2011},,,,
abrell:2020,,in file \citep{fischer_b:2020},,,,
abrell:2023,,in file \citep{adams_cj-etal:2023},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oso/9780197655696.001.0001,,
abromeit:2018,,in file \citep{gordon_pe-etal:2018},,,,
abrusan_m-szendroi:2012,,in file \citep{aloni-etal:2012},,,,
abrusan_m:2012,,in file \citep{aloni-etal:2012},,,,
abrusci:1980,,in file \citep{dallachiara:1980},,,,
abulafia_d:1999,,file,,,,
abulof:2015,,file,,,,
abumhenreegbe:2005,,in file \citep{tymieniecka:2005d},,,,
abumhenreegbe:2010,,in file \citep{tymieniecka:2010},,,,
abusch:1998,,in file \citep{rothstein_s:1998},,,,
abusch:2004,,in file \citep{gueron-lecarme:2004},,,,
acampora_cd:2013,,,,WP4-GET-PDF (ISBN:9780226923901 / 9780226923918,,
acar_r:2010,,in file \citep{burrell-etal:2010},,,,
accardi:1990,,in file \citep{cooke_rm-costantini:1990},,,,
accardi:2014,,in file \citep{albeverio-blanchard:2014},,,,
accetti:2015,,,,WP4-GET-PDF (ISBN:9780231170789 / 9780231540377,,
acemoglu-robinson:2006,,in file \citep{weingast-wittman:2006},,,,
acerbi:2013,,file,,,,
acerbi:2013a,,file,,,,
acerbi:2013b,,file,,,,
acerbi:2015,,file,,,,
acero:1996,,in file \citep{clark_an-etal:1996},,,,
acero:2008,,in file \citep{rivasmonroy-etal:2008},,,,
aceron:2004,,in file \citep{tymieniecka:2004},,,,
