bibkey,note_perso,note_stock,note_missing,change_request,dltc_copyediting_note,todo_general
coffman_ej-warfield:2007,,file,,,,
coffman_ej:2009,,file,,,,
coffman_ej:2010,,file,,,,
coffman_ej:2010a,,file,,,,
coffman_ej:2011,,file,,,,
coffman_ej:2011a,in GE,in file \citep{kvanvig:2011},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199603213.001.0001,,
coffman_ej:2011b,,file,,,,
coffman_ej:2012,,in file \citep{clark_kj-rea:2012},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199766864.001.0001,,
coffman_ej:2012a,,"in file \citep{cullison:2012},in file \citep{cullison:2014}",,,,
coffman_ej:2014,,"file, in file \citep{pritchard_d-whittington:2015}",,,,
coffman_ej:2014a,in GE,in file \citep{littlejohn_c-turri:2014},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199660025.001.0001,,
coffman_ej:2014b,,in file \citep{dougherty_t-mcbrayer:2014},,,,
coffman_ej:2015,,file,,,,
coffman_ej:2016,,file,,,DIAL,
coffman_ej:2017,,in file \citep{borges_r-etal:2017},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oso/9780198724551.001.0001,,
coffman_ej:2018,,file,,,,
coffman_ej:2019,,file,,,,
cogburn-cook:2005,,file,,,,
cogburn-roland:2012,,file,,,,
cogburn-roland:2013,,file,,,DIAL,
cogburn-silcox:2011,,file,,,,
cogburn:2002,y,file,,,,
cogburn:2004a,,in file \citep{priest_g-etal:2004},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199265176.001.0001,,
cogburn:2004b,,file,,,,
cogburn:2005,y,,,,,
cogburn:2010,,file,,,,
cogburn:2017,,,,WP4-GET-PDF (ISBN:9781474415910 / 9781474434942,,
cogburn:2017a,,file,,,,
coggins:2003,,file,,,,
coggins:2008,,file,,,,
coggins:2010,,file,,,,
coghill:2005,,in file \citep{aydede:2005},,,,
cogley_z:2012,,file,,,,
cogley_z:2013,,file,,,,
cogley_z:2013a,,in file \citep{shoemaker_d:2013},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199694853.001.0001,,
cogley_z:2014,,in file \citep{timpe-boyd:2014},,,,
cogliati:2010,,in file \citep{burrell-etal:2010},,,,
cogoy:1982,,file,,,,
cohen_ai-heathwellman:2005,,file,,,,
cohen_ai:2005,,in file \citep{cohen_ai-heathwellman:2005},,,,
cohen_ai:2017,,file,,,,
cohen_aj:2015,,in file \citep{wall_s:2015},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1017/cbo9781139942478,,
cohen_al-stern:2017,,file,,,,
cohen_al-stern:2017a,,in file \citep{cohen_al-stern:2017},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oso/9780198766858.001.0001,,
cohen_al:2000,,file,,,,
cohen_al:2005,,file,,,,
cohen_al:2007,,file,,,,
cohen_al:2008a,,file,,,,
cohen_al:2008b,,file,,,,
cohen_al:2008c,,file,,,,
cohen_al:2009,,file,,,,
cohen_al:2011,,in file \citep{roth_k-surprenant:2011},,,,
cohen_al:2012,,in file \citep{shell_sm-velkley:2012},,,,
cohen_al:2013,,file,,,,
cohen_al:2013a,,file,,,,
cohen_al:2014,,file,,,,
cohen_al:2014a,,file,,,,
cohen_al:2014b,,file,,,,
cohen_al:2014c,,in file \citep{cohen_al:2014},,,,
cohen_al:2014d,,in file \citep{cohen_al:2014},,,,
cohen_al:2014e,,in file \citep{altman_mc:2014},,,,
cohen_al:2014f,,in file \citep{cohen_al:2014a},,,,
cohen_al:2014g,,in file \citep{garrett_a:2014},,,,
cohen_al:2017,,in file \citep{cohen_al-stern:2017},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oso/9780198766858.001.0001,,
cohen_al:2017a,,in file \citep{altman_mc:2017},,,,
cohen_al:2018,,,,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1017/9781316823453,,
cohen_al:2018a,,in file \citep{emundts-sedgwick:2018},,,,
cohen_am:2018,,file,,,,
cohen_ar-erteschikshir:2002,,,page-refs;,,,
cohen_ar:2006,,in file \citep{vonheusinger-turner:2006},,,,
cohen_arm:2001,,in file \citep{engquist-schmid:2001},,,,
cohen_b:1959,,in file \citep{clagett:1959},,,,
cohen_b:1959a,,in file \citep{clagett:1959},,,,
cohen_b:1974,,in file \citep{suppe:1974},,,,
cohen_b:1976,,in file \citep{cohen_rs-etal:1976a},,,,
cohen_b:1989,,in file \citep{levere_th-shea:1989},,,,
cohen_b:1994,,in file \citep{cohen_rs:1994},,,,
cohen_b:1994a,,in file \citep{cohen_rs:1994},,,,
cohen_b:1994b,,in file \citep{cohen_rs:1994},,,,
cohen_b:1997,,in file \citep{theerman-parshall:1997},,,,
cohen_b:1999,,in file \citep{newton_i:1999},,,,
cohen_be:1978,,file,,,,
cohen_be:2021,,in file \citep{michelfelder_d-doorn:2021},,,,
cohen_bh:1986,,in file \citep{davidson_rj-etal:1986},,,,
cohen_br:1983,,file,,,,
cohen_c:1958,y,,,,,
cohen_c:1979,,file,,,,
cohen_c:1998,,file,,,,
cohen_c:2008,,in file \citep{thomas_la:2008},,,,
cohen_c:2013,,in file \citep{caplan_al-arp:2013},,,,
cohen_cj:1997,,file,,,,
cohen_d-worth:1977,,,,WP6-GET-PDF,,
cohen_d:1974,GE,,,WP6-GET-PDF,,
cohen_da:2017,,in file \citep{baram_n-gattei:2017},,,,
cohen_daj-lipscomb:2012,,file,,,,
cohen_db:1976,,in file \citep{schwartz_ge-shapiro:1976},,,,
cohen_dh-handfield:2007,,file,,,,
cohen_dh-handfield:2010,,file,,,,
cohen_dh:1990,y,in file \citep{dunn_mj-gupta:1990},,,,
cohen_dh:2006,,file,,,,
cohen_ef:2008,,in file \citep{thomas_la:2008},,,,
cohen_egd:1973,,in file \citep{mehra:1973},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1007/978-94-010-2602-4,,
cohen_fs:1939,,file,,,,
cohen_fs:1951,in GE,,,,,
cohen_ga-otsuka:2011,,,,WP4-GET-PDF (ISBN:9780691148700 / 9781400838660,,
cohen_ga:1966,,file,,,,
cohen_ga:1979,in GE,in file \citep{ryan_al:1979},,,,
cohen_ga:1983,,file,,,,
cohen_ga:1983a,,file,,,,
cohen_ga:1986,,file,,,,
cohen_ga:1986a,,in file \citep{lucash:1986},,,,
cohen_ga:1986b,,in file \citep{vallentyne-steiner:2000a},,,,
cohen_ga:1986c,,in file \citep{ullmannmargalit:1986a},,,,
cohen_ga:1988,,file,,,,
cohen_ga:1989,,file,,,,
cohen_ga:1993,,in file \citep{nussbaum_mc-sen:1993},,,,
cohen_ga:1995,,file,,,,
cohen_ga:1996,,in file \citep{korsgaard:1996a},,,,
cohen_ga:1997,,in file \citep{richardson_hes:1999a},,,,
cohen_ga:2000,GE,file,,,,
cohen_ga:2001,,file,,,,
cohen_ga:2002,,in file \citep{buss_s-overton:2002},,,,
cohen_ga:2004,,in file \citep{burley_j:2004},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470996386,,
cohen_ga:2006,,in file \citep{ohear:2006},,,,
cohen_ga:2006a,,file,,,,
cohen_ga:2008,,file,,,,
cohen_ga:2008a,,in file \citep{thomas_la:2008},,,,
cohen_ga:2009,,file,,,,
cohen_ga:2009a,,in file \citep{christiano_t-christman:2009},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9781444310399,,
cohen_ga:2011,,file,,,,
cohen_ga:2011a,,in file \citep{wallace_rj-etal:2011},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199753673.001.0001,,
cohen_ga:2012,,file,,,,
cohen_h:1885,,file,,,,
cohen_h:1917,GE,,,,,
cohen_he:2001,,in file \citep{engquist-schmid:2001},,,,
cohen_hf:1984,,file,,,,
cohen_hf:2000a,,in file \citep{gozza:2000},,,,
cohen_hf:2005,,in file \citep{anstey-schuster:2005},,,,
cohen_ig-etal:2015,,,,WP4-GET-PDF (ISBN:9780190217471 / 9780190217488,,
cohen_ig:2015,,in file \citep{arras-etal:2015},,,,
cohen_je:1984,,in file \citep{rudavsky:1984},,,,
cohen_jj:2013,,,,WP4-GET-PDF (ISBN:9780816679973 / 9781452948737,,
cohen_jj:2015,,,,WP4-GET-PDF (ISBN:9780816692576 / 9781452950785,,
cohen_jo:1989,,"file, in file \citep{richardson_hes:1999}",,,,
cohen_jo:1989a,,file,,,,
cohen_jo:1996,,in file \citep{heyd_d:1996},,,,
cohen_jo:2001,,in file \citep{byrne_a-etal:2001},,,,
cohen_jo:2002,,in file \citep{freeman_s:2002},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1017/ccol0521651670,,
cohen_jo:2004,,file,,,,
cohen_jo:2009a,,in file \citep{christiano_t-christman:2009},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9781444310399,,
cohen_jo:2010,,,,WP4-GET-PDF (ISBN:9780199581498 / 9780191722875,,
cohen_jo:2011a,,in file \citep{wallace_rj-etal:2011},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199753673.001.0001,,
cohen_jo:2015,,in file \citep{hinton_t:2015},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1017/cbo9781107375321,,
cohen_jod-schooler:1997,,,,WP6-GET-PDF,,
cohen_jona-fulkerson:2017,,in file \citep{corns:2017},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.4324/9781315742205,,
cohen_jona-kehler:2021,,file,,,,
cohen_jona-matthen:2010,,,,WP4-GET-PDF (ISBN:9780262013857 / 9780262312493,,
cohen_jona-michaelson:2013,,file,,WP16-GETDOIs,,
cohen_jona-nichols:2010,,file,,,,
cohen_jona:1987,,in file \citep{kuipers_t:1987},,,,
cohen_jona:2000,,in file \citep{engel_p:2000a},,,,
cohen_jona:2000a,,file,,,,
cohen_jona:2001,,file,,,,
cohen_jona:2001a,,file,,,,
cohen_jona:2002,y,,,,,
cohen_jona:2003,y,,,,,
cohen_jona:2003a,,file,,,,
cohen_jona:2004,,file,,,,
cohen_jona:2004a,,file,,,,
cohen_jona:2004b,,in file \citep{floridi:2004},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470757017,,
cohen_jona:2005,,file,,,,
cohen_jona:2006,,file,,,,
cohen_jona:2007,,in file \citep{mclaughlin_bp-cohen:2007},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9781394259847,,
cohen_jona:2007a,,file,,,,
cohen_jona:2008,,file,,,DIAL,
cohen_jona:2009,GE,,,WP4-GET-PDF (ISBN:9780199556168 / 9780191701672,DIAL,
cohen_jona:2009a,,in file \citep{symons_j-calvo:2009},,,,
cohen_jona:2010,,file,,,,
cohen_jona:2010a,in GE,in file \citep{zimmerman_dw:2010},,,,
cohen_jona:2010b,,in file \citep{nanay:2010},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780195386196.001.0001,,
cohen_jona:2012,,file,,,,
cohen_jona:2012a,,file,,,,
cohen_jona:2013,,file,,,DIAL,
cohen_jona:2015,,,,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oxfordhb/9780199600472.001.0001,,
cohen_jona:2017,,in file \citep{deroy:2017},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oso/9780199688289.001.0001,,
cohen_jona:2019,,file,,,,
cohen_jona:2021,,in file \citep{brown_dh-macpherson:2021},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.4324/9781351048521,,
cohen_jos-zaguryorly:2021,,in file \citep{meacham_d-dewarren:2021},,,,
cohen_jos:2013,,in file \citep{herzog_l:2013},,,,
cohen_jos:2018,,in file \citep{gironi:2018},,,,
cohen_ju:1968,,in file \citep{pennock_jr-chapman:1968},,,,
cohen_le:1986,,in file \citep{donagan_a-etal:1986},,,,
cohen_leo:1973,,in file \citep{hooker_ca:1973},,,,
cohen_lj-etal:1982,,file,,,,
cohen_lj-margalit:1970,,in file \citep{davidson_d-harman:1972},,,,
cohen_lj:1951,,file,,,,
cohen_lj:1951a,,file,,,,
cohen_lj:1954a,,file,,,,
cohen_lj:1955,,file,,,,
cohen_lj:1955a,,file,,,,
cohen_lj:1959,y,file,,,,
cohen_lj:1959a,,file,,,,
cohen_lj:1961,,file,,,,
cohen_lj:1962,GE,,,,,
cohen_lj:1962a,,file,,,,
cohen_lj:1963,y,file,,,,
cohen_lj:1965,,file,,,,
cohen_lj:1968,,file,,,,
cohen_lj:1973,,in file \citep{bogdan_rj-niiniluoto:1973},,,,
cohen_lj:1974,,file,,,,
cohen_lj:1975,,in file \citep{vesey_gna:1975},,,,
cohen_lj:1975a,in GE,,,,,
cohen_lj:1975b,,file,,,,
cohen_lj:1976,,in file \citep{kasher_a:1976},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1007/978-94-010-1876-0,,
cohen_lj:1976a,,in file \citep{cohen_rs-etal:1976a},,,,
cohen_lj:1976b,,in file \citep{bogdan_rj:1976},,,,
cohen_lj:1976c,,file,,,,
cohen_lj:1977,,,,WP4-GET-PDF (ISBN:9780198244127 / 9780191680748,,
cohen_lj:1977a,,file,,,,
cohen_lj:1979a,,in file \citep{ortony:1993},,,,
cohen_lj:1979b,,in file \citep{sosa_e:1979},,,,
cohen_lj:1980,y,,,,,
cohen_lj:1980b,,in file \citep{agazzi_ev:1980},,,,
cohen_lj:1980e,in GE,,,,,
cohen_lj:1983,y,,,,,
cohen_lj:1985a,,in file \citep{currie_g-musgrave:1985},,,,
cohen_lj:1986a,,file,,,,
cohen_lj:1986b,,in file \citep{marcus_rb-etal:1986},,,,
cohen_lj:1987,in GE,,,,,
cohen_lj:1988,,in file \citep{agazzi_ev:1988},,,,
cohen_lj:1988a,,in file \citep{ullmannmargalit:1988},,,,
cohen_lj:1989,GE,file,,,DIAL,
cohen_lj:1990,,in file \citep{salmon_mh:1990},,,,
cohen_lj:1992,GE,file,,,,
cohen_lj:1993d,,in file \citep{dubucs:1993},,,,
cohen_lj:1995,,in file \citep{kucuradi-cohen:1995},,,,
cohen_lj:1997a,,in file \citep{dallachiara-etal:1997a},,,,
cohen_lj:1999,,in file \citep{korta-etal:1999},,,,
cohen_lj:2002,,file,,,,
cohen_m:1969,,file,,,,
cohen_m:1982,,file,,,,
cohen_ma:1965,in GE,in file \citep{black_m:1965},,,,
cohen_ma:1970,,file,,,,
cohen_ma:1970a,,file,,,,
cohen_mara:2020,,in file \citep{simon_ju:2020},,,,
cohen_mat:2011,,in file \citep{delmar:2011},,,,
cohen_mau:1969,,file,,,,
cohen_mr-drabkin:1948,,file,,,,
cohen_mr-nagel:1934,GE,file,,,,
cohen_mr:1911,,file,,,,
cohen_mr:1913,,file,,,,
cohen_mr:1913a,in GE,,,,,
cohen_mr:1914,,file,,,,
cohen_mr:1916,in GE,,,,,
cohen_mr:1923,,file,,,,
cohen_mr:1927,,file,,,,
cohen_phr-etal:1990,,file,,,,
cohen_phr-etal:1990a,,in file \citep{cohen_phr-etal:1990},,,,
cohen_phr-levesque:1987,,"in file \citep{georgeff-lansky:1987},in file \citep{cohen_phr-etal:1990}",,,,
cohen_phr-levesque:1990a,,in file \citep{cohen_phr-etal:1990},,,,
cohen_pj:1965,,in file \citep{addison-etal:1965},,,,
cohen_pj:1971,,in file \citep{scott_ds:1971},,,,
cohen_pj:1974,,in file \citep{heyting:1974},,,,
cohen_ral:1976,,file,,,,
cohen_ro-jones:1989,,in file \citep{kobsa-wahlster:1989},,,,
cohen_ron:2018,,in file \citep{waibel_vl-etal:2018a},,,,
cohen_rs-etal:1974,,file,,,,
cohen_rs-etal:1976,,"file, some files",,,,
cohen_rs-etal:1976a,,file,,,,
cohen_rs-etal:1996,,file,,,DIAL,
cohen_rs-etal:1997,,file,,,,
cohen_rs-etal:1997a,,file,,,,
cohen_rs-helling:2014,,file,,,,
cohen_rs-laudan:1983,,file,,,,
cohen_rs-tauber:1998,,file,,,,
cohen_rs-wartofsky:1967,,file,,,,
cohen_rs-wartofsky:1969,,file,,,,
cohen_rs-wartofsky:1969a,,file,,,DIAL,
cohen_rs-wartofsky:1973,,file,,,,
cohen_rs-wartofsky:1974,,file,,,,
cohen_rs-wartofsky:1983,,file,,,,
cohen_rs-wartofsky:1983a,,file,,,,
cohen_rs-wartofsky:1984,,file,,,,
cohen_rs-wartofsky:1984a,,file,,,,
cohen_rs-wartofsky:1984b,,file,,,,
cohen_rs-wartofsky:1985,,file,,,,
cohen_rs:1963,in GE,in file \citep{schilpp:1963},,,,
cohen_rs:1963a,,in file \citep{wartofsky:1963},,,,
cohen_rs:1970,,in file \citep{yourgrau_w-breck:1970},,,,
cohen_rs:1974,,in file \citep{cohen_rs-etal:1974},,,,
cohen_rs:1976,,in file \citep{cohen_rs-etal:1976a},,,,
cohen_rs:1983,,in file \citep{cohen_rs-laudan:1983},,,,
cohen_rs:1994,,file,,,,
cohen_rs:2017,,in file \citep{baram_n-gattei:2017},,,,
cohen_ru-etal:1979,,in file \citep{baeuerle_r-etal:1979},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1515/9783110852820,,
cohen_ru-etal:1983,,in file \citep{baeuerle_r-etal:1983},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1515/9783110852820,,
cohen_s-comesana:2013,,file,,,,
cohen_s-comesana:2013a,,file,,,,
cohen_s:1981,,file,,,,
cohen_s:1984,,file,,,DIAL,
cohen_s:1986,y,,,,,
cohen_s:1986a,,file,,,,
cohen_s:1988,y,file,,,,
cohen_s:1990,,in file \citep{roth_md-ross:1990},,,,
cohen_s:1991,in GE,,,,,
cohen_s:1995,y,file,,,,
cohen_s:1998,,file,,,,
cohen_s:1999,y,,,,DIAL,
cohen_s:2000,,in file \citep{phil-issues:2000},,,,
cohen_s:2000a,,in file \citep{phil-issues:2000},,,,
cohen_s:2001,,file,,,,
cohen_s:2002,,file,,,,
cohen_s:2003,,file,,,,
cohen_s:2004,y,,,,,
cohen_s:2004a,,in file \citep{brendel-jaeger:2005},,,,
cohen_s:2004b,,in file \citep{greco_j:2004},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470756140,,
cohen_s:2004c,,file,,,,
cohen_s:2005a,,file,,,,
cohen_s:2005b,,in file \citep{sosa_e-steup:2005},,,,
cohen_s:2005c,,in file \citep{sosa_e-steup:2005},,,,
cohen_s:2008,,,,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oxfordhb/9780195183214.001.0001,,
cohen_s:2013,,in file \citep{christensen_d-lackey:2013},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199698370.001.0001,,
cohen_s:2015,,in file \citep{rosen_g-etal:2015},,,,
cohen_s:2016,,file,,,,
cohen_sg:1986,,in file \citep{ullmannmargalit:1986a},,,,
cohen_sh:2015,,file,,,,
cohen_sh:2016,,file,,,,
cohen_sh:2018,,file,,,,
cohen_sjd:2007,,in file \citep{fonrobert_ce-jaffee:2007},,,,
cohen_sm-keyt:1992,,in file \citep{klagge-smith:1992},,,,
cohen_sm:1971a,,"file, in file \citep{vlastos:1971b}",,,,
cohen_sm:1973a,,in file \citep{moravcsik_jme:1973},,,,
cohen_sm:1978b,,file,,,,
cohen_sm:1984,,file,,,,
cohen_sm:1984a,,file,,,,
cohen_sm:1987,,file,,,,
cohen_sm:1992,,in file \citep{nussbaum_mc-rorty:1992},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/019823600X.001.0001,,
cohen_sm:2008,,file,,,DIAL,
cohen_sm:2009,,in file \citep{anagnostopoulos_g:2009},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9781444305661,,
cohen_sm:2012a,,in file \citep{shields_c:2012},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oxfordhb/9780195187489.001.0001,,
cohen_sm:2013,,in file \citep{anagnostopoulos_g-miller:2013},,,,
cohen_t-guyer:1982,,,,WP6-GET-PDF,,
cohen_t:1990,,file,,,,
cohen_t:1993,,in file \citep{dancy_rm:1993},,,,
cohen_t:1998,,in file \citep{levinson_j:1998},,,,
cohen_t:2001,,in file \citep{gaut-lopes:2005},,,,
cohen_t:2004,,in file \citep{kivy:2004},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470756645,,
cohen_t:2009,,in file \citep{eldridge_r:2009},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oxfordhb/9780195182637.001.0001,,
cohen_t:2010,,in file \citep{hagberg-jost:2010},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9781444315592,,
cohen_tm:2008,,in file \citep{worcester_t:2008},,,,
cohen_tr-panter:2015,,in file \citep{miller_cb-etal:2015},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780190204600.001.0001,,
cohen_w:2016,,in file \citep{pecknold_cc-toom:2016},,,,
cohen_wa:2017,,file,,,,
cohen_ww-hirsh:1994,,in file \citep{doyle_j-etal:1994},,,,
cohen_y:1979,,file,,,,
cohen_y:1982,,file,,,,
cohen_ye:2016,,in file \citep{dolev_y-roubach:2016},,,,
cohen_yi:2015,,file,,,,
cohen_yi:2015a,,file,,,,
cohen_yi:2016,,file,,,,
cohen_yi:2016a,,file,,,,
cohen_yi:2017,,file,,,,
cohen_yi:2018,,file,,,,
cohenalmagor:2001,,file,,,,
cohenalmagor:2002,,file,,,,
cohenchristofidis:2004,,in file \citep{burley_j:2004},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470996386,,
cohentannoudji_g:1990,,file,,,,
cohn_ag-etal:1994,y,in file \citep{wittgensteinsymposium:1994},,,,
cohn_ag-etal:1997,,in file \citep{stock_o:1997},,,,
cohn_ag-varzi:2003,y,,,,,
cohn_dl:1980,LOGO,,,,,
cohn_h:1916,,file,,,,
cohn_j:1917,,file,,,,
cohn_pn:2018,,in file \citep{linzey_a-linzey:2018},,,,
cohn_s:1905,,in file \citep{claparede:1905},,,,
cohnitz-estradagonzalez:2019,,,,,DIAL,
cohnitz-etal:2014,,file,,,,
cohnitz-haeggqvist:2009,,file,,,,
cohnitz-haeggqvist:2017,,in file \citep{stuart_mt-etal:2017},,,DIAL,
cohnitz-haukioja:2015,,file,,,DIAL,
cohnitz-haukioja:2021,,in file \citep{biggs_s-geirsson:2021},,,,
cohnitz-kangilaski:2013,,file,,,,
cohnitz-marques:2014,,file,,,,
cohnitz-nicolai:2021,,file,,,DIAL,
cohnitz-rossberg:2006,,file,,,,
cohnitz-rossberg:2017,,in file \citep{burkhardt_h-etal:2017},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.2307/j.ctv2nrzj8n,,
cohnitz-rossberg:2017a,,in file \citep{burkhardt_h-etal:2017},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.2307/j.ctv2nrzj8n,,
cohnitz-smith:2003,y,,,,,
cohnitz:2003,y,in file \citep{petrus:2003},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1515/9783110324648,,
cohnitz:2003a,,in file \citep{stadler_f:2003},,,,
cohnitz:2004,y,,,,,
cohnitz:2005,,,,,DIAL,
cohnitz:2006,,file,,,,
cohnitz:2006a,,file,,,,
cohnitz:2008,,file,,,,
cohnitz:2009,,in file \citep{ernst_gerh-etal:2009},,,,
cohnitz:2012,in GE,in file \citep{restall-russell:2012},,,,
cohnitz:2015,,in file \citep{haukioja:2015},,,,
cohnitz:2016,,file,,,,
cohnsherbok:2018,,in file \citep{moreman_cm:2018},,,,
cohoe_c:2014,,file,,WP16-GETDOIs,,
cohoe_c:2018,,file,,,,
cohoe_c:2018a,,file,,,,
cohoe_c:2020,,in file \citep{pasnau:2020},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oso/9780198865728.001.0001,,
cohoe_c:2022a,,,,WP16-GETDOIs,,
cohoe_c:2022b,,,,WP16-GETDOIs,,
cohon-dcruz:2017,,in file \citep{fileva:2017},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199357703.001.0001,,
cohon:1994,,file,,,,
cohon:1997,,file,,,,
cohon:2001,,file,,,,
cohon:2006,,in file \citep{traiger:2006},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470776377,,
cohon:2006a,,file,,,,
cohon:2008,,,,WP4-GET-PDF (ISBN:9780199268443 / 9780191708565,,
cohon:2008a,,in file \citep{radcliffe_es:2008},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470696583,,
cohon:2010a,,file,,,,
cohon:2020,,in file \citep{taylor_ja:2020},,,,
cokelet_b-maley:2019,,file,,WP8-COLL:ADD-REFS,,
cokelet_b:2014,,,,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780198722144.001.0001,,
cokelet_b:2015,,in file \citep{miller_cb-etal:2015},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780190204600.001.0001,,
cokelet_b:2016,,file,,,,
cokely-feltz:2014,,in file \citep{osbeck-held:2014},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1017/cbo9781139136419,,
coko:2015,,file,,,,
colaco-etal:2014,,file,,,,
colaco-machery:2017,,,,,DIAL,
colaner:2012,,file,,,,
colantuono:2012,,file,,,,
colapietro:1997,,in file \citep{brunning_j-forster:1997},,,,
colapietro:2003,,in file \citep{jacquette:2003},,,,
colapietro:2003a,,"in file \citep{gracia_j-etal:2003},in file \citep{dahlstrom:2008}",,,,
