id,journal_key,name_latex,name_unicode,issn_print,issn_electronic
151,berichte-uber-die-verhandlungen-der-koniglich-sachsischen-gesellschaften-der-wissenschaften-zu-leipzig-mathematischphysische-classe,"Berichte {\""u}ber die Verhandlungen der K{\""o}niglich S{\""a}chsischen Gesellschaften der Wissenschaften zu Leipzig, Mathematisch-physische Classe","Berichte über die Verhandlungen der Königlich Sächsischen Gesellschaften der Wissenschaften zu Leipzig, Mathematisch-physische Classe",,
152,berichte-der-joachim-junius-gesellschaft-der-wissenschaften-hamburg,Berichte der Joachim Junius Gesellschaft der Wissenschaften Hamburg,Berichte der Joachim Junius Gesellschaft der Wissenschaften Hamburg,,
153,berichte-und-abhandlungen-der-berlin-brandenburgischen-akademie-der-wissenschaften,Berichte und Abhandlungen der Berlin-Brandenburgischen Akademie der Wissenschaften,Berichte und Abhandlungen der Berlin-Brandenburgischen Akademie der Wissenschaften,,
154,berichte-zur-wissenschaftsgeschichte,Berichte zur Wissenschaftsgeschichte,Berichte zur Wissenschaftsgeschichte,,
155,berlinische-monatsschrift,Berlinische Monatsschrift,Berlinische Monatsschrift,,
156,berner-zeitschrift-fur-geschichte,"Berner Zeitschrift f{\""u}r Geschichte",Berner Zeitschrift für Geschichte,,
157,between-the-species,Between the Species,Between the Species,,
158,bijdragen,Bijdragen,Bijdragen,,
159,biographical-memoirs-of-fellows-of-the-british-academy,Biographical Memoirs of Fellows of the British Academy,Biographical Memoirs of Fellows of the British Academy,,
160,biographical-memoirs-of-fellows-of-the-royal-society,Biographical Memoirs of Fellows of the Royal Society,Biographical Memoirs of Fellows of the Royal Society,,
161,biological-psychiatry,Biological Psychiatry,Biological Psychiatry,,
162,biological-reviews-of-the-cambridge-philosophical-society,Biological Reviews of the Cambridge Philosophical Society,Biological Reviews of the Cambridge Philosophical Society,,
163,biology,Biology,Biology,,
164,biometrika,Biometrika,Biometrika,,
165,bios-zeitschrift-fur-biographieforschung-oral-history-und-lebensverlaufsanalyse,"Bios.~Zeitschrift f{\""u}r Biographieforschung, Oral History und Lebensverlaufsanalyse","Bios. Zeitschrift für Biographieforschung, Oral History und Lebensverlaufsanalyse",,
166,biosystems,Biosystems,Biosystems,,
167,blackfriars,Blackfriars,Blackfriars,,
168,boletin-de-la-sociedad-matematica-mexicana,Bolet{\'{\i}}n de la Sociedad Matem{\'a}tica Mexicana,Boletín de la Sociedad Matemática Mexicana,,
169,bolletino-di-storia-delle-scienze-matematiche,Bolletino di Storia delle Scienze Matematiche,Bolletino di Storia delle Scienze Matematiche,,
170,borderlands,Borderlands,Borderlands,,
171,boston-post,Boston Post,Boston Post,,
172,boston-university-law-review,Boston University Law Review,Boston University Law Review,,
173,botanisches-centralblatt,Botanisches Centralblatt,Botanisches Centralblatt,,
174,breches-montreal,Br{\`e}ches (Montr{\'e}al),Brèches (Montréal),,
175,brain-a-journal-of-neurology,Brain: A Journal of Neurology,Brain: A Journal of Neurology,,
176,bulletin-de-l-academie-polonaise-des-sciences-serie-des-sciences-mathematiques-astronomiques-et-physiques,"Bulletin de l'Acad{\'e}mie Polonaise des Sciences, S{\'e}rie des Sciences Math{\'e}matiques, Astronomiques et Physiques","Bulletin de l'Académie Polonaise des Sciences, Série des Sciences Mathématiques, Astronomiques et Physiques",,
177,bulletin-de-la-faculte-des-lettres-de-l-universite-de-strasbourg,Bulletin de la Facult{\'e} des Lettres de l'Universit{\'e} de Strasbourg,Bulletin de la Faculté des Lettres de l'Université de Strasbourg,,
178,bulletin-de-la-societe-de-linguistique-de-paris,Bulletin de la Soci{\'e}t{\'e} de Linguistique de Paris,Bulletin de la Société de Linguistique de Paris,,
179,bulletin-de-la-societe-mathematique-de-france,Bulletin de la soci{\'e}t{\'e} math{\'e}matique de France,Bulletin de la société mathématique de France,,
180,bulletin-de-psychologie-de-la-sorbonne,Bulletin de psychologie de la Sorbonne,Bulletin de psychologie de la Sorbonne,,
181,bulletin-des-etudes-valeryennes,Bulletin des {\'e}tudes val{\'e}ryennes,Bulletin des études valéryennes,,
182,bulletin-des-sciences-mathematiques-et-astronomiques,Bulletin des sciences math{\'e}matiques et astronomiques,Bulletin des sciences mathématiques et astronomiques,,
183,bulletin-international-de-l-academie-des-sciences-de-cracovie-classe-de-philologie-classe-dhistoire-et-de-philosophie,"Bulletin International de l'Acad{\'e}mie des Sciences de Cracovie, Classe de philologie, Classe d'histoire et de philosophie","Bulletin International de l'Académie des Sciences de Cracovie, Classe de philologie, Classe d'histoire et de philosophie",,
184,bulletin-international-de-l-academie-polonaise-des-sciences-et-des-lettres,Bulletin international de l'Acad{\'e}mie Polonaise des Sciences et des Lettres,Bulletin international de l'Académie Polonaise des Sciences et des Lettres,,
185,bulletin-of-the-australian-mathematical-society,Bulletin of the Australian Mathematical Society,Bulletin of the Australian Mathematical Society,,
186,bulletin-of-the-linguistic-society-of-america,Bulletin of the Linguistic Society of America,Bulletin of the Linguistic Society of America,,
187,bulletin-of-the-london-mathematical-society,Bulletin of the London Mathematical Society,Bulletin of the London Mathematical Society,,
188,bulletin-of-the-los-angeles-neurological-society,Bulletin of the Los Angeles Neurological Society,Bulletin of the Los Angeles Neurological Society,,
189,bulletin-of-the-newman-association-for-the-philosophy-of-mind,Bulletin of the Newman Association for the Philosophy of Mind,Bulletin of the Newman Association for the Philosophy of Mind,,
190,bulletin-of-the-psychonomic-society,Bulletin of the PsychonomicSociety,Bulletin of the PsychonomicSociety,,
191,byzantinische-zeitschrift,Byzantinische Zeitschrift,Byzantinische Zeitschrift,,
192,cote-philo,C{\^o}t{\'e} philo,Côté philo,,
193,cahier-de-la-maison-des-sciences-de-l-homme,Cahier de la Maison des Sciences de l'Homme,Cahier de la Maison des Sciences de l'Homme,,
194,cahier-pour-l-analyse,Cahier pour l'Analyse,Cahier pour l'Analyse,,
195,cahiers-de-l-anpeda,Cahiers de l'ANPEDA,Cahiers de l'ANPEDA,,
196,cahiers-de-la-classe-des-beaux-arts,Cahiers de la Classe des Beaux-Arts,Cahiers de la Classe des Beaux-Arts,,
197,cahiers-de-la-faculte-des-lettres-geneve,Cahiers de la Facult{\'e} des Lettres (Gen{\`e}ve),Cahiers de la Faculté des Lettres (Genève),,
198,cahiers-de-psychologie,Cahiers de psychologie,Cahiers de psychologie,,
199,cahiers-des-etudes-anciennes,Cahiers des {\'e}tudes anciennes,Cahiers des études anciennes,,
200,cahiers-fundamenta-scientiae,Cahiers Fundamenta Scientiae,Cahiers Fundamenta Scientiae,,
201,cahiers-internationaux-du-symbolisme,Cahiers internationaux du symbolisme,Cahiers internationaux du symbolisme,,
202,cahiers-pour-lanalyse,Cahiers pour l'analyse,Cahiers pour l'analyse,,
203,cahiers-psychiatriques,Cahiers psychiatriques,Cahiers psychiatriques,,
204,cahiers-rationalistes,Cahiers rationalistes,Cahiers rationalistes,,
205,cahiers-sts-ed-du-cnrs,"Cahiers S.T.S, Ed.~du CNRS","Cahiers S.T.S, Ed. du CNRS",,
206,cahiers-vilfredo-pareto,Cahiers Vilfredo Pareto,Cahiers Vilfredo Pareto,,
207,california-law-review,California Law Review,California Law Review,,
208,cambridge-journal,Cambridge Journal,Cambridge Journal,,
209,cambridge-law-journal,Cambridge Law Journal,Cambridge Law Journal,,
210,cambridge-mathematical-journal,Cambridge Mathematical Journal,Cambridge Mathematical Journal,,
211,cambridge-review,Cambridge Review,Cambridge Review,,
212,canadian-journal-of-mathematics,Canadian Journal of Mathematics,Canadian Journal of Mathematics,,
213,canadian-journal-of-philosophy,Canadian Journal of Philosophy,Canadian Journal of Philosophy,,
214,canadian-journal-of-psychology,Canadian Journal of Psychology,Canadian Journal of Psychology,,
