id,series_key,name_latex,name_unicode
1287,a_la_recherche_de_la_v_e_rit_e,A la recherche de la v{\'e}rit{\'e},A la recherche de la vérité
1288,bloomsbury_companions,Bloomsbury Companions,Bloomsbury Companions
1289,studies_in_the_history_of_philosophy,Studies in the History of Philosophy,Studies in the History of Philosophy
1290,kritische_gesamtausgabe,Kritische Gesamtausgabe,Kritische Gesamtausgabe
1291,wadsworth_philosophical_topics,Wadsworth Philosophical Topics,Wadsworth Philosophical Topics
1292,new_problems_in_philosophy,New Problems in Philosophy,New Problems in Philosophy
1293,library_of_philosophy_and_religion,Library of Philosophy and Religion,Library of Philosophy and Religion
1294,donner_raison,Donner raison,Donner raison
1295,histoire_des_id_e_es_et_critique_litt_e_raire,Histoire des id{\'e}es et critique litt{\'e}raire,Histoire des idées et critique littéraire
1296,zeitschrift_f_u_r_a_sthetik_und_allgemeine_kunstwissenschaft_sonderheft,"Zeitschrift f{\""u}r {\""A}sthetik und Allgemeine Kunstwissenschaft, Sonderheft","Zeitschrift für Ästhetik und Allgemeine Kunstwissenschaft, Sonderheft"
1297,quadrige,Quadrige,Quadrige
1298,classroom_resource_materials,Classroom Resource Materials,Classroom Resource Materials
1299,blackwell_readings_in_continental_philosophy,Blackwell Readings in Continental Philosophy,Blackwell Readings in Continental Philosophy
1301,cuardernos,Cuardernos,Cuardernos
1302,les_petits_n_e_cessaires_de_culture,Les petits n{\'e}cessaires de culture,Les petits nécessaires de culture
1303,blackwell_bristol_lectures_on_greece_rome_and_the_classical_tradition,"Blackwell-Bristol Lectures on Greece, Rome and the Classical Tradition","Blackwell-Bristol Lectures on Greece, Rome and the Classical Tradition"
1304,faits_et_cause,Faits et Cause,Faits et Cause
1305,perspectives_critiques,Perspectives critiques,Perspectives critiques
1306,contemporary_perspectives_in_philosophy,Contemporary Perspectives in Philosophy,Contemporary Perspectives in Philosophy
1307,collection_de_logique_math_e_matique_s_e_rie_a,Collection de logique math{\'e}matique.~S{\'e}rie A,Collection de logique mathématique. Série A
1308,oxford_legal_studies_research_paper,Oxford Legal Studies Research Paper,Oxford Legal Studies Research Paper
1309,applied_logic_series,Applied Logic Series,Applied Logic Series
1310,filosofie,Filosofie,Filosofie
1311,the_science_library,The Science Library,The Science Library
1312,la_d_e_couverte_poche_essais,La D{\'e}couverte poche ; Essais,La Découverte poche ; Essais
1313,educational_philosophy_and_theory_special_issues,Educational Philosophy and Theory Special Issues,Educational Philosophy and Theory Special Issues
1314,droit_et_soci_e_t_e_s_e_rie_politique,Droit et soci{\'e}t{\'e} ; S{\'e}rie politique,Droit et société ; Série politique
1315,monographs_in_modern_logic,Monographs in Modern Logic,Monographs in Modern Logic
1316,soziale_orienterung,Soziale Orienterung,Soziale Orienterung
1317,g_e_ographique,G{\'e}ographique,Géographique
1318,nrf,NRF,NRF
1319,the_collected_works_of_james_m_buchanan,The Collected Works of James M.~Buchanan,The Collected Works of James M. Buchanan
1320,accent,Accent,Accent
1321,stockholm_studies_in_philosophy,Stockholm Studies in Philosophy,Stockholm Studies in Philosophy
1322,paradoxe,Paradoxe,Paradoxe
1323,springer_undergraduate_texts_in_philosophy,Springer Undergraduate Texts in Philosophy,Springer Undergraduate Texts in Philosophy
1324,recht_und_philosophie,Recht und Philosophie,Recht und Philosophie
1325,boston_studies_in_philosophy_religion_and_public_life,"Boston Studies in Philosophy, Religion and Public Life","Boston Studies in Philosophy, Religion and Public Life"
1326,l_interrogation_philosophique,L'interrogation philosophique,L'interrogation philosophique
1327,il_pensiero_occidentale,Il Pensiero Occidentale,Il Pensiero Occidentale
1328,cambridge_studies_in_probability_induction_and_decision_theory,"Cambridge Studies in Probability, Induction, and Decision Theory","Cambridge Studies in Probability, Induction, and Decision Theory"
1329,rereading_the_canon,Rereading the Canon,Rereading the Canon
1330,cahiers_du_s_e_minaire_d_e_pist_e_mologie_et_d_histoire_des_sciences,Cahiers du s{\'e}minaire d'{\'e}pist{\'e}mologie et d'histoire des sciences,Cahiers du séminaire d'épistémologie et d'histoire des sciences
1331,biblioth_e_que_d_histore_de_la_philosophie,Biblioth{\`e}que d'histore de la philosophie,Bibliothèque d'histore de la philosophie
1332,companions_to_ancient_thought,Companions to Ancient Thought,Companions to Ancient Thought
1333,the_routledge_philosophers,The Routledge Philosophers,The Routledge Philosophers
1335,le_sens_de_l_histoire,Le Sens de l'histoire,Le Sens de l'histoire
1336,collection_analytiques,Collection Analytiques,Collection Analytiques
1337,palgrave_handbooks_in_german_idealism,Palgrave Handbooks in German Idealism,Palgrave Handbooks in German Idealism
1338,second_series,Second Series,Second Series
1339,cnrs_science_politique,CNRS-Science politique,CNRS-Science politique
1340,key_themes_in_ancient_philosophy,Key Themes in Ancient Philosophy,Key Themes in Ancient Philosophy
