id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
2124,gemperle_pc,Paul C.,Paul C.,Gemperle,Gemperle,,,,,,,false,,
2159,gaillard_am,Anne-Marie,Anne-Marie,Gaillard,Gaillard,,,,,,,false,,
2376,graczyk_b,Bruno,Bruno,Graczyk,Graczyk,,,,,,,false,,
3725,gottschlich_m,Max,Max,Gottschlich,Gottschlich,,,,,,,false,,
4061,glauser_r,Richard,Richard,Glauser,Glauser,,,,,,,false,,
4072,gerber_he,Heidi,Heidi,Gerber,Gerber,,,,,,,false,,
4190,gregorio_s,Serena,Serena,Gregorio,Gregorio,,,,,,,false,,
4217,giananti_a,Andrea,Andrea,Giananti,Giananti,,,,,,,false,,
4307,glazier,Martin,Martin,Glazier,Glazier,,,,,,,false,,
4391,gerber_a,Andreas,Andreas,Gerber,Gerber,,,,,,,false,,
5000,gafner_l,Lara,Lara,Gafner,Gafner,,,,,,,false,,
5232,gessner_w,Wolfgang,Wolfgang,Gessner,Gessner,,,,,,,false,,
22134,gillessen,Jens,Jens,Gillessen,Gillessen,,,,,,,false,,
24874,gaudiano_v,Valentina,Valentina,Gaudiano,Gaudiano,,,,,,,false,,
24910,gotlib_a,Anna,Anna,Gotlib,Gotlib,,,,,,,false,,
24911,gruenig_r,Rainer,Rainer,"Gr{\""u}nig",Grünig,,,,,,,false,,
24945,guldentops,Guy,Guy,Guldentops,Guldentops,,,,,,,false,,
24974,gentinetta_k,Katja,Katja,Gentinetta,Gentinetta,,,,,,,false,,
25006,gubelmann_r,Reto,Reto,Gubelmann,Gubelmann,,,,,,,false,,
25013,germann_p,Pascal,Pascal,Germann,Germann,,,,,,,false,,
25025,gutwald_r,Rebecca,Rebecca,Gutwald,Gutwald,,,,,,,false,,
25030,gertken,Jan,Jan,Gertken,Gertken,,,,,,,false,,
25039,guidara,Giulia,Giulia,Guidara,Guidara,,,,,,,false,,
25101,grueber_k,Katrin,Katrin,"Gr{\""u}ber",Grüber,,,,,,,false,,
25115,guaraldo,Olivia,Olivia,Guaraldo,Guaraldo,,,,,,,false,,
25137,gallmeister,Michael,Michael,Gallmeister,Gallmeister,,,,,,,false,,
25229,graetzel_s,Stephan,Stephan,"Gr{\""a}tzel",Grätzel,,,,,,,false,,
25267,goerner_r,"R{\""u}diger",Rüdiger,"G{\""o}rner",Görner,,,,,,,false,,
25271,garciamarquez,Mercedes,Mercedes,Garcia M{\'a}rquez,Garcia Márquez,,,,,,,false,,
25272,gashi_j,Jon,Jon,Gashi,Gashi,,,,,,,false,,
25273,gastaldi_jl,Juan Luis,Juan Luis,Gastaldi,Gastaldi,,,,,,,false,,
25274,gauchot_b,Bastien,Bastien,Gauchot,Gauchot,,,,,,,false,,
25275,gaultier,Benoit,Benoit,Gaultier,Gaultier,,,,,,,false,,
25276,geier_b,Beat,Beat,Geier,Geier,,,,,,,false,,
25277,gerster_e,Edith,Edith,Gerster,Gerster,,,,,,,false,,
25278,gigli_p,Paolo,Paolo,Gigli,Gigli,,,,,,,false,,
25279,gonzalezcabrera,Ivan,Ivan,Gonzalez-Cabrera,Gonzalez-Cabrera,,,,,,,false,,
25280,grandjean_l,Laur{\'e}line,Lauréline,Grandjean,Grandjean,,,,,,,false,,
25281,guilielmo_b,Benoit,Benoit,Guilielmo,Guilielmo,,,,,,,false,,
25282,guever_l,Levin,Levin,"G{\""u}ver",Güver,,,,,,,false,,
25342,guenter_a,Andrea,Andrea,"G{\""u}nter",Günter,,,,,,,false,,
25496,glaeser_m,Micha,Micha,"Gl{\""a}ser",Gläser,,,,,,,false,,
25512,graf_r,"R{\""u}diger",Rüdiger,Graf,Graf,,,,,,,false,,
25517,geisenhanslueke,Achim,Achim,"Geisenhansl{\""u}ke",Geisenhanslüke,,,,,,,false,,
25535,grueny_c,Christian,Christian,"Gr{\""u}ny",Grüny,,,,,,,false,,
25537,gahlings_u,Ute,Ute,Gahlings,Gahlings,,,,,,,false,,
25566,gerlek_s,Selin,Selin,Gerlek,Gerlek,,,,,,,false,,
25605,graf_c,Christian,Christian,Graf,Graf,,,,,,,false,,
25611,gavez_b,Barbara,Barbara,Gavez,Gavez,,,,,,,false,,
25621,givel,Reto,Reto,Givel,Givel,,,,,,,false,,
25630,gaillard_be,Beno{\^i}t,Benoît,Gaillard,Gaillard,,,,,,,false,,
25635,guerlet,Caroline (Caro),Caroline (Caro),Guerlet,Guerlet,,,,,,,false,,
25659,greiner_k,Kurt,Kurt,Greiner,Greiner,,,,,,,false,,
25717,girard_ch,Charles,Charles,Girard,Girard,,,,,,,false,,
25718,gaillard_u,Ursula Maria,Ursula Maria,Gaillard,Gaillard,,,,,,,false,,
25764,glock_hj,Hans-Johann,Hans-Johann,Glock,Glock,,,,,,,false,,
25765,gretlerheusser,Simone,Simone,Gretler-Heusser,Gretler-Heusser,,,,,,,false,,
25790,giannuzzo_a,"Ana{\""{\i}}s",Anaïs,Giannuzzo,Giannuzzo,,,,,,,false,,
25815,gess_n,Nicola,Nicola,Gess,Gess,,,,,,,false,,
25916,gamm_g,Gerhard,Gerhard,Gamm,Gamm,,,,,,,false,,
25919,greco_s,Sara,Sara,Greco,Greco,,,,,,,false,,
25920,gisondi_m,Marcello,Marcello,Gisondi,Gisondi,,,,,,,false,,
25974,gisler_b,Bernadette,Bernadette,Gisler,Gisler,,,,,,,false,,
26003,giordani_a,Alessandro,Alessandro,Giordani,Giordani,,,,,,,false,,
26005,giraldo,Jacopo,Jacopo,Giraldo,Giraldo,,,,,,,false,,
26014,gatignon_f,Florian,Florian,Gatignon,Gatignon,,,,,,,false,,
26033,genta_bs,Benjamin Santos,Benjamin Santos,Genta,Genta,,,,,,,false,,
26053,gerard_jo,Jonathan,Jonathan,G{\'e}rard,Gérard,,,,,,,false,,
26081,gentizon,Jonathan,Jonathan,Gentizon,Gentizon,,,,,,,false,,
26164,gerber_da,Daniela,Daniela,Gerber,Gerber,,,,,,,false,,
26165,gerber_t,Thomas,Thomas,Gerber,Gerber,,,,,,,false,,
26166,gianora_o,Omar,Omar,Gianora,Gianora,,,,,,,false,,
26167,giezendanner_t,Tobias,Tobias,Giezendanner,Giezendanner,,,,,,,false,,
26168,gillet_m,Mirabelle,Mirabelle,Gillet,Gillet,,,,,,,false,,
26169,ginardi_g,Gabriella,Gabriella,Ginardi,Ginardi,,,,,,,false,,
26170,golombek_em,Elena Maria,Elena Maria,Golombek,Golombek,,,,,,,false,,
26171,gonzenbach_a,Annina,Annina,Gonzenbach,Gonzenbach,,,,,,,false,,
26172,graber_s,Sebastien,Sebastien,Graber,Graber,,,,,,,false,,
26173,gregorio_f,Francesco,Francesco,Gregorio,Gregorio,,,,,,,false,,
26174,greutmannmerk,Peter,Peter,Greutmann Merk,Greutmann Merk,,,,,,,false,,
26175,grubacevic,Goran,Goran,Grubacevic,Grubacevic,,,,,,,false,,
26176,grueter_d,David,David,"Gr{\""u}ter",Grüter,,,,,,,false,,
26177,gruetter_t,Tobias,Tobias,"Gr{\""u}tter",Grütter,,,,,,,false,,
26178,gysin_m,Mariann,Mariann,Gysin,Gysin,,,,,,,false,,
26334,goetz_c,Carlo,Carlo,"G{\""o}tz",Götz,,,,,,,false,,
26341,giovannoli_r,Renato,Renato,Giovannoli,Giovannoli,,,,,,,false,,
26352,gandolfo_r,"Rapha{\""e}l",Raphaël,Gandolfo,Gandolfo,,,,,,,false,,
26357,gapany_r,Romain,Romain,Gapany,Gapany,,,,,,,false,,
26358,grin_y,Yann,Yann,Grin,Grin,,,,,,,false,,
26417,gridelli_t,Thaler,Thaler,Gridelli,Gridelli,,,,,,,false,,
26507,gueppe,Yohan,Yohan,Gueppe,Gueppe,,,,,,,false,,
26551,garancini_d,Daniele,Daniele,Garancini,Garancini,,,,,,,false,,
26583,gerbino_e,Elie,Elie,Gerbino,Gerbino,,,,,,,false,,
26585,grandjean_an,Anissa,Anissa,Grandjean,Grandjean,,,,,,,false,,
26631,guizarrosales,Emmanuel T{\'e}ofilo,Emmanuel Téofilo,Guizar Rosales,Guizar Rosales,,,,,,,false,,
26762,goerres_a,Alexander,Alexander,"G{\""o}rres",Görres,,,,,,,false,,
26777,gurau_a,Ana,Ana,Gurau,Gurau,,,,,,,false,,
26794,gasbarro_a,Andrew,Andrew,Gasbarro,Gasbarro,,,,,,,false,,
26828,gruenberg_b,Bas,Bas,"Gr{\""u}nberg",Grünberg,,,,,,,false,,
26836,gordon_b,Bruno,Bruno,Gordon,Gordon,,,,,,,false,,
26848,guenes,Berzan,Berzan,"G{\""u}nes",Günes,,,,,,,false,,
26865,ganz_c,Cristina,Cristina,Ganz,Ganz,,,,,,,false,,
26882,genier_c,Christelle,Christelle,Genier,Genier,,,,,,,false,,
26883,grothoff,Christian,Christian,Grothoff,Grothoff,,,,,,,false,,
26892,gilliand_c,Christophe,Christophe,Gilliand,Gilliand,,,,,,,false,,
26901,gaggini_c,Clelia,Clelia,Gaggini,Gaggini,,,,,,,false,,
26912,gao_j,Jie,Jie,Gao,Gao,,,,,,,false,,
26921,gamboni_d,Daria Ladina Gamboni,Daria Ladina Gamboni,Gamboni,Gamboni,,,,,,,false,,
26943,grisard,Dominique,Dominique,Grisard,Grisard,,,,,,,false,,
26954,gao_yu,Yuhua,Yuhua,Gao,Gao,,,,,,,false,,
27005,goubier,Fr{\'e}d{\'e}ric,Frédéric,Goubier,Goubier,,,,,,,false,,
27009,gerz_f,Freya,Freya,Gerz,Gerz,,,,,,,false,,
27024,gorke_m,Martin,Martin,Gorke,Gorke,,,,,,,false,,
27027,gugerli,David,David,Gugerli,Gugerli,,,,,,,false,,
27057,ghalem_a,Abdellah,Abdellah,Ghalem,Ghalem,,,,,,,false,,
27062,gerber_si,Silvan,Silvan,Gerber,Gerber,,,,,,,false,,
27091,grand_jl,Jean-Luc,Jean-Luc,Grand,Grand,,,,,,,false,,
27111,gamp_j,Judith,Judith,Gamp,Gamp,,,,,,,false,,
27120,garnitschnig_k,Karl,Karl,Garnitschnig,Garnitschnig,,,,,,,false,,
27123,gassner_k,Kathrin,Kathrin,Gassner,Gassner,,,,,,,false,,
27139,garcia_re,Renaud,Renaud,Garcia,Garcia,,,,,,,false,,
27147,gallerydelatremblaye,Laura,Laura,Gallery de La Tremblaye,Gallery de La Tremblaye,,,,,,,false,,
27180,gentile_l,Lorenzo,Lorenzo,Gentile,Gentile,,,,,,,false,,
27184,gasparinetti_l,Luca,Luca,Gasparinetti,Gasparinetti,,,,,,,false,,
27188,green_lu,Luciano,Luciano,Green,Green,,,,,,,false,,
27189,giorgi_l,Lucie,Lucie,Giorgi,Giorgi,,,,,,,false,,
27211,graf_sm,Simon M.,Simon M.,Graf,Graf,,,,,,,false,,
27213,gsell_m,Manuela,Manuela,Gsell,Gsell,,,,,,,false,,
27217,galeazzi_m,Marco,Marco,Galeazzi,Galeazzi,,,,,,,false,,
27230,gegaj,Markus,Markus,Gegaj,Gegaj,,,,,,,false,,
27272,gandon_m,Morane,Morane,Gandon,Gandon,,,,,,,false,,
27278,gygax_m,Markus,Markus,Gygax,Gygax,,,,,,,false,,
27285,gerber_n,Nadja,Nadja,Gerber,Gerber,,,,,,,false,,
27299,graber_n,Nicole,Nicole,Graber,Graber,,,,,,,false,,
27304,gachet_n,Nicolas,Nicolas,Gachet,Gachet,,,,,,,false,,
27305,graf_n,Nicole,Nicole,Graf,Graf,,,,,,,false,,
27338,gubser_p,Peter,Peter,Gubser,Gubser,,,,,,,false,,
27339,gugelmann,Peter,Peter,Gugelmann,Gugelmann,,,,,,,false,,
27352,garbani_f,Filippo,Filippo,Garbani,Garbani,,,,,,,false,,
27384,gerber_r,Roland,Roland,Gerber,Gerber,,,,,,,false,,
27385,guenter_r,Roman,Roman,"G{\""u}nter",Günter,,,,,,,false,,
27417,gfeller_s,Sarah,Sarah,Gfeller,Gfeller,,,,,,,false,,
27463,gehr_s,Sulamith,Sulamith,Gehr,Gehr,,,,,,,false,,
27477,gutknecht_t,Thierry,Thierry,Gutknecht,Gutknecht,,,,,,,false,,
27479,graf_t,Thomas,Thomas,Graf,Graf,,,,,,,false,,
27498,grober_u,Ulrich,Ulrich,Grober,Grober,,,,,,,false,,
27503,gilgen_u,Ursina,Ursina,Gilgen,Gilgen,,,,,,,false,,
27507,genna_v,Victorien,Victorien,Genna,Genna,,,,,,,false,,
27510,gerhard_v,Volker,Volker,Gerhard,Gerhard,,,,,,,false,,
27535,gafner_p,Philippe,Philippe,Gafner,Gafner,,,,,,,false,,
27536,gouiran_md,Manon Delphine,Manon Delphine,Gouiran,Gouiran,,,,,,,false,,
27556,garciaolier,Jan Alejandro,Jan Alejandro,Garcia Olier,Garcia Olier,,,,,,,false,,
27630,gagnebin_e,{\'E}lie,Élie,Gagnebin,Gagnebin,,,,,,,false,,
27631,gagnebin_s,Samuel,Samuel,Gagnebin,Gagnebin,,,,,,,false,,
27632,garcia_a,Amanda,Amanda,Garc{\'{\i}}a,García,,,,,,,false,,
27633,gex,Maurice,Maurice,Gex,Gex,,,,,,,false,,
27634,gigon_o,Olof,Olof,Gigon,Gigon,,,,,,,false,,
27635,gisin_n,Nicolas,Nicolas,Gisin,Gisin,,,,,,,false,,
27636,gochet,Paul,Paul,Gochet,Gochet,,,,,,,false,,
27637,goffin_k,Kris,Kris,Goffin,Goffin,,,,,,,false,,
27638,gonseth_f,Ferdinand,Ferdinand,Gonseth,Gonseth,,,,,,,false,,
27639,gosseries,Axel,Axel,Gosseries,Gosseries,,,,,,,false,,
27640,gould_jl,James L.,James L.,Gould,Gould,,,,,,,false,,
27641,graeser,Andreas,Andreas,Graeser,Graeser,,,,,,,false,,
27642,grasshoff,Gerd,Gerd,Grasshoff,Grasshoff,,,,,,,false,,
27643,grassi_e,Ernesto,Ernesto,Grassi,Grassi,,,,,,,false,,
27644,grenon,Pierre,Pierre,Grenon,Grenon,,,,,,,false,,
27645,grize_jb,Jean-Blaise,Jean-Blaise,Grize,Grize,,,,,,,false,,
27646,guigon,Ghislain,Ghislain,Guigon,Guigon,,,,,,,false,,
45272,gaab,Jens,Jens,Gaab,Gaab,,,,,,,false,,
45273,gaarder,Emily,Emily,Gaarder,Gaarder,,,,,,,false,,
45274,gaasterland,Terry,Terry,Gaasterland,Gaasterland,,,,,,,false,,
45275,gabaldon,Alfredo,Alfredo,Gabaldon,Gabaldon,,,,,,,false,,
45276,gabaude,Jean-Marc,Jean-Marc,Gabaude,Gabaude,,,,,,,false,,
45277,gabbani,Carlo,Carlo,Gabbani,Gabbani,,,,,,,false,,
45278,gabbay_dm,Dov M.,Dov M.,Gabbay,Gabbay,,,,,,,false,,
45279,gabbay_m,Michael,Michael,Gabbay,Gabbay,,,,,,,false,,
45280,gabbay_mj,Murdoch J.,Murdoch J.,Gabbay,Gabbay,,,,,,,false,,
45281,gabbe,Myrna,Myrna,Gabbe,Gabbe,,,,,,,false,,
45282,gabbey,Alan,Alan,Gabbey,Gabbey,,,,,,,false,,
