id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
513,article,ackermann_w:1928a,,,1928,,"{\""U}ber die Erf{\""u}llbarkeit gewisser Zahlausdr{\""u}cke",Über die Erfüllbarkeit gewisser Zahlausdrücke,,,,mathematische-annalen,100,,638--649,,,,,,,,,,,,,,,,,,,ngerman,false,,ackermann_w,,,1:logic;2:type_theory
514,article,ackermann_w:1937,,,1937,,Die Widerspruchsfreiheit der Allgemeinen Mengenlehre,Die Widerspruchsfreiheit der Allgemeinen Mengenlehre,,,,mathematische-annalen,114,,305--315,,,,,,,,,,,,,,,,,,,ngerman,false,,ackermann_w,,,1:mathematics;2:set_theory
515,article,ackermann_w:1940,,,1940,,Zur Widerspruchsfreiheit der Zahlentheorie,Zur Widerspruchsfreiheit der Zahlentheorie,,,,mathematische-annalen,117,,162--194,,,,,,,,,,,,,,,,,,,ngerman,false,,ackermann_w,,,1:logic;2:type_theory
516,article,ackermann_w:1950,,,1950,,Widerspruchsfreier Aufbau der Logik I,Widerspruchsfreier Aufbau der Logik I,,,,the-journal-of-symbolic-logic,15,,33--57,,,,,,,,,,,,,,,,,,,ngerman,false,,ackermann_w,,,1:logic
517,book,ackermann_w:1954,,,1954,,Solvable cases of the decision problem,Solvable cases of the decision problem,,,,,,15,,,studies_in_logic_and_the_foundations_of_mathematics,Amsterdam,,,north-holland-publishing-co,,,,,,,,,,,,,,false,,ackermann_w,,,1:logic;2:un_decidability
518,article,ackermann_w:1956,,,1956,,"Begr{\""u}ndung einer strengen Implikation",Begründung einer strengen Implikation,,,,the-journal-of-symbolic-logic,21,2,113--128,,,,,,,,,,,,,,,,,,,ngerman,false,,ackermann_w,,,1:logic;2:entailment;3:logical_consequence
519,article,ackermann_w:1958,,,1958,,"{\""U}ber die Beziehung zwischen strikter und strenger Implikation",Über die Beziehung zwischen strikter und strenger Implikation,,,,dialectica,12,47/48,213--222,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1958.tb01459.x,,ngerman,false,,ackermann_w,,,1:logic;2:entailment;3:logical_consequence
520,incollection,ackermann_w:1961,,,1961,,Grundgedanken einer typenfreien Logik,Grundgedanken einer typenfreien Logik,,,,,,,143--155,,,,,,,,,,,,,,,,,,,ngerman,false,,ackermann_w,,,1:logic;2:type_theory
521,book,ackrill:1963,,,1963,,Aristotle: Categories and De Interpretatione,Aristotle: Categories and De Interpretatione,,,,,,,,,clarendon_aristotle_series_ed_j_l_ackrill_and_lindsay_judson,Oxford,,,oxford-university-press,,,Translated with notes and glossary,Translated with notes and glossary,,,,,,,,,,true,,ackrill,,,1:metaphysics
522,article,ackrill:1964,,,1964,,Comments,Comments,,,,the-journal-of-philosophy,61,20,610--613,,,,,,,,,,,,,,,,,,,,false,,ackrill,,,1:language
523,incollection,ackrill:1965,,,1965,,Aristotle's Distinction between \emph{energeia} and \emph{kin{\=e}sis},Aristotle's Distinction between energeia and kinēsis,,,,,,,121--142,,,,,,,,,Reprinted in \citet[142--162]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:modality;2:dunamis
524,article,ackrill:1966,,,1966,,Plato on False Belief: \emph{Theaetetus} 187-200,Plato on False Belief: Theaetetus 187-200,,,,the-monist,50,,,,,,,,,,,Reprinted in \citet[53--71]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:belief;2:error
525,incollection,ackrill:1970,,,1970,,In Defence of Platonic Division,In Defence of Platonic Division,,,,,,,373--392,,,,,,,,,Reprinted in \citet[93--109]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:history_of_philosophy
526,incollection,ackrill:1971,,,1971,,\emph{Sumplok{\=e} Eidon},Sumplokē Eidon,,,,,,,201--209,,,,,,,,,Reprinted in \citet[72--79]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:properties;2:forms;3:platonic_forms
527,incollection,ackrill:1971a,,,1971,,Plato and the Copula: \emph{Sophist} 251--259,Plato and the Copula: Sophist 251–259,,,,,,,210--222,,,,,,,,,Reprinted in \citet[80--92]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:exemplification;2:copula
528,article,ackrill:1973,,,1973,,Aristotle's Definitions of ``Psuch{\=e}'',Aristotle's Definitions of “Psuchē”,,,,proceedings-of-the-aristotelian-society,73,,119--133,,,,,,,,,Reprinted in \citet[163--178]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:persons;2:soul
529,incollection,ackrill:1973a,,,1973,,\emph{Anamnesis} in the \emph{Phaedo}: Remarks on 73C-75C,Anamnesis in the Phaedo: Remarks on 73C-75C,,,,,,,177--195,,,,,,,,,Reprinted in \citet[13--32]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:explanation;2:paradox_of_analysis;3:meno_s_problem
530,article,ackrill:1975,,,1975,,Aristotle on \emph{Eudaimonia},Aristotle on Eudaimonia,,,,proceedings-of-the-british-academy,60,,339--359,,,,,,,,,"Reprinted in \citet[15--34]{rorty_ao:1981} and in \citet[179--200]{ackrill:1997}, and, partially, as \citet{ackrill:1995}","Reprinted in Rorty (1981) and in Ackrill (1997), and, partially, as Ackrill (1995)",,,,,,,,,,false,,ackrill,,,1:feeling;2:happiness;3:eudaimonia
531,article,ackrill:1978,,,1978,,An Aristotelian Argument about Virtue,An Aristotelian Argument about Virtue,,,,paideia-brockport-ny-state-university-college,7,,,,,,,,,,,Reprinted in \citet[222--229]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:ethics
532,article,ackrill:1978a,,,1978,,Aristotle on Action,Aristotle on Action,,,,mind,87,,595--601,,,,,,,,,Reprinted in \citet[93--102]{rorty_ao:1981} and in \citet[212--221]{ackrill:1997},Reprinted in Rorty (1981) and in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:action
533,incollection,ackrill:1981,,,1981,,Aristotle's Theory of Definition: Some Questions on \emph{Posterior Analytics} II 8-10,Aristotle's Theory of Definition: Some Questions on Posterior Analytics II 8-10,,,,,,,359--384,,,,,,,,,Reprinted in \citet[110--130]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:explanation;2:definition
534,article,ackrill:1985,,,1985,,Review of \citet{dorter:1982},Review of Dorter (1982),,,,the-classical-review,35,1,65--67,,,,,,,,,,,,,,,,,,,,false,,ackrill,,,1:history_of_philosophy
535,incollection,ackrill:1991,,,1991,,Change and Aristotle's Theological Argument,Change and Aristotle's Theological Argument,,,,,,,57--66,,,,,,,,,Reprinted in \citet[131--141]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:time;2:change
536,incollection,ackrill:1994,,,1994,,Language and Reality in Plato's \emph{Cratylus},Language and Reality in Plato's Cratylus,,,,,,,,,,,,,,,,Reprinted in \citet[33--52]{ackrill:1997},Reprinted in Ackrill (1997),,,,,,,,,,false,,ackrill,,,1:language
537,incollection,ackrill:1995,,,1995,,Aristotle on Eudaimonia (I 1-3 and 5-6),Aristotle on Eudaimonia (I 1-3 and 5-6),,,,,,,39--62,,,,,,,,,,,,,,,,,,,,false,,ackrill,,,1:feeling;2:happiness;3:eudaimonia
538,book,ackrill:1997,,,1997,,Essays on Plato and Aristotle,Essays on Plato and Aristotle,Essays on Plato and Aristotle,Essays on Plato and Aristotle,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,,false,,ackrill,,,1:history_of_philosophy
539,incollection,ackrill:1997a,,,1997,,Introduction,Introduction,,,,,,,1--12,,,,,,,,,,,,,,,,,,,,false,,ackrill,,,1:history_of_philosophy
540,incollection,ackrill:1997b,,,1997,,What is Wrong with Plato's \emph{Republic}?,What is Wrong with Plato's Republic?,,,,,,,230--252,,,,,,,,,,,,,,,,,,,,false,,ackrill,,,1:political_philosophy
541,article,acock-jackson:1976,,,1976,,Seems,Seems,,,,revue-internationale-de-philosophie,30,,304--330,,,,,,,,,,,,,,,,,,,,false,,acock;jackson_hg,,,1:perception;2:logic_of_perception
542,incollection,acquaviva_p:2016,,,2016,,Linguistic Plurality and the Conceptualization of Part Structure,Linguistic Plurality and the Conceptualization of Part Structure,,,,,,,194--218,,,,,,,,,,,,,,,,,,,,false,,acquaviva_p,,,1:reference;2:plural_reference;3:plural_terms
