id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
145649,incollection,sainsbury-williamson:1997,,,1997,,Sorites,Sorites,,,,,,,458--485,,,,,,,,,Reprinted in \citet[734--757]{hale_b-etal:2017},"Reprinted in Hale, Wright, and Miller (2017)",,,,,,,,,,false,,sainsbury;williamson_t,,,1:vagueness
145650,book,sainsbury:1979,,,1979,,Russell,Russell,,,,,,,,,,London,,,routledge-kegan-paul,,,,,,,,,,,,,,false,,sainsbury,,,1:vagueness
145651,article,sainsbury:1980a,,,1980,,Semantic Theory and Grammatical Structure,Semantic Theory and Grammatical Structure,,,,proceedings-of-the-aristotelian-society-supplementary-volume,54,,158--172,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:language
145652,article,sainsbury:1984a,,,1984,,Saying and Conveying,Saying and Conveying,,,,linguistics-and-philosophy,7,4,415--432,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:representation;2:speaker_meaning
145653,article,sainsbury:1985,,,1985,,Critical Notice of \citet{evans_g:1982},Critical Notice of Evans (1982),,,,mind,94,,120--142,,,,,,,,,Reprinted in \citet[43--70]{sainsbury:2002},Reprinted in,,,,,,,,,,false,,sainsbury,,,1:reference
145654,article,sainsbury:1986,,,1986,,Evidence for Meaning,Evidence for Meaning,,,,mind-and-language,1,1,64--82,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:representation;2:meaning
145655,article,sainsbury:1986a,,,1986,,Degrees of Belief and Degrees of Truth,Degrees of Belief and Degrees of Truth,,,,philosophical-papers,15,,97--106,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:belief;2:credence
145656,incollection,sainsbury:1986b,,,1986,,Bertrand Arthur William Russell,Bertrand Arthur William Russell,,,,,,,217--218,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:history_of_philosophy
145657,incollection,sainsbury:1986c,,,1986,,Russell on Acquaintance,Russell on Acquaintance,,,,,,,219--244,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:perception;2:acquaintance
145658,article,sainsbury:1988,,,1988,,Tolerating Vagueness,Tolerating Vagueness,,,,proceedings-of-the-aristotelian-society,89,,33--48,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:vagueness
145659,book,sainsbury:1988a,,,1988,,Paradoxes,Paradoxes,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,,false,,sainsbury,,,1:argumentation;2:paradoxes
145660,article,sainsbury:1989,,,1989,,What is a Vague Object?,What is a Vague Object?,,,,analysis,49,,99--103,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:vagueness
145661,incollection,sainsbury:1989a,,,1989,,On Induction and Russell's Postulates,On Induction and Russell's Postulates,,,,,,,200--219,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:method;2:induction
145662,book,sainsbury:1990,,,1990,,Concepts without Boundaries,Concepts without Boundaries,,,,,,,,,,London,,,kings-college-department-of-philosophy,,,"King's College Inaugural Lecture, reprinted in \citet[251--264]{keefe_r-smith:1996} and in \citet[71--84]{sainsbury:2002}","King's College Inaugural Lecture, reprinted in Keefe and Smith (1996) and in",,,,,,,,,,false,,sainsbury,,,1:vagueness
145663,book,sainsbury:1991,,,1991,,Logical Forms: An Introduction to Philosophical Logic,Logical Forms: An Introduction to Philosophical Logic,,,,,,,,,,Oxford,,,blackwell-publishers,,,Second edition: \citet{sainsbury:2001},Second edition: Sainsbury (2001),,,,,,,,,,false,,sainsbury,,,1:language;2:logical_structure;3:logical_form
145664,article,sainsbury:1991a,,,1991,,Cartesian Possibilities and the Externality and Extrinsicness of Content,Cartesian Possibilities and the Externality and Extrinsicness of Content,,,,synthese,89,3,407--424,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:representation;2:propositional_attitudes
145665,article,sainsbury:1991b,,,1991,,Is there Higher-Order Vagueness?,Is there Higher-Order Vagueness?,,,,the-philosophical-quarterly,41,163,167--182,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:vagueness;2:higher_order_vagueness
145666,article,sainsbury:1992,,,1992,,Sorites Paradoxes and the Transition Question,Sorites Paradoxes and the Transition Question,,,,philosophical-papers,21,3,177--190,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:vagueness
