id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
179989,incollection,whittle_b:2017c,,,2017,,"Truth, Hierarchy and Incoherence","Truth, Hierarchy and Incoherence",,,,,,,307--324,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:truth;2:semantic_paradoxes;3:liar
179990,article,whittle_b:2018,,,2018,,Size and Function,Size and Function,,,,erkenntnis,83,4,853--873,,,,,,,,,,,,,,,,,10.1007/s10670-017-9917-z,,,false,,whittle_b,,,1:mathematics;2:infinity
179991,article,whittle_b:2019,,,2019,,Truth and Generalized Quantification,Truth and Generalized Quantification,,,,australasian-journal-of-philosophy,97,2,340--353,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:ontology;2:quantification
179992,incollection,whittle_b:2020,,,2020,,Ontological Pluralism and Notational Variance,Ontological Pluralism and Notational Variance,,,,,,,58--73,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:metaphysics;2:perspectivalism
179993,incollection,whittle_p:2003,,,2003,,Colorimetry Fortified [Comment on \citet{koenderink-vandoorn:2003}],Colorimetry Fortified [Comment on Koenderink and van Doorn (2003)],,,,,,,,,,,,,,,,,,,,,,,,,,,false,,whittle_p,,,1:perception;2:colours
179994,incollection,whittle_p:2003a,,,2003,,Contrast Colours,Contrast Colours,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,whittle_p,,,1:perception;2:colours
179995,incollection,whittle_p:2003b,,,2003,,Why is this Game Still Being Played? [Comment on \citet{hatfield_gc:2003a}],Why is this Game Still Being Played? [Comment on Hatfield (2003)],,,,,,,,,,,,,,,,,,,,,,,,,,,false,,whittle_p,,,1:perception;2:colours
179996,incollection,whittle_p:2003c,,,2003,,Talking across the Divide [Comment on \citet{schwartz_r:2003}],Talking across the Divide [Comment on Schwartz (2003)],,,,,,,,,,,,,,,,,,,,,,,,,,,false,,whittle_p,,,1:perception;2:colours
179997,incollection,whittle_p:2003d,,,2003,,Who Dictates What is Real? [Comment on \citet{mclaughlin_bp:2003b}],Who Dictates What is Real? [Comment on McLaughlin (2003)],,,,,,,,,,,,,,,,,,,,,,,,,,,false,,whittle_p,,,1:perception;2:colours
179998,book,whorf:1956,,,1956,,"Language, Thought and Reality: Selected Writings of Benjamin Lee Whorf","Language, Thought and Reality: Selected Writings of Benjamin Lee Whorf","Language, Thought and Reality: Selected Writings of Benjamin Lee Whorf","Language, Thought and Reality: Selected Writings of Benjamin Lee Whorf",,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,Edited by John B.~Carroll; second edition: \citet{whorf:2012},Edited by John B. Carroll; second edition: Whorf (2012),,,,,,,,,,false,,whorf,,,1:linguistics;2:sociolinguistics
179999,book,whorf:2012,,,2012,,"Language, Thought and Reality: Selected Writings of Benjamin Lee Whorf","Language, Thought and Reality: Selected Writings of Benjamin Lee Whorf","Language, Thought and Reality: Selected Writings of Benjamin Lee Whorf","Language, Thought and Reality: Selected Writings of Benjamin Lee Whorf",,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,2,"Edited by John B.~Carroll, Stephen C.~Levinson and Penny Lee; first edition: \citet{whorf:1956}","Edited by John B. Carroll, Stephen C. Levinson and Penny Lee; first edition: Whorf (1956)",,,,,,,,,,false,,whorf,,,1:linguistics;2:sociolinguistics
180000,article,whyte_g:1986,,,1986,,Escalating Commitment to a Course of Action: A Reinterpretation,Escalating Commitment to a Course of Action: A Reinterpretation,,,,academy-of-management-review,11,,311--321,,,,,,,,,,,,,,,,,,,,false,,whyte_g,,,1:action;2:intention
180001,book,whyte_j:2005,,,2005,,Crimes contre la logique : comment ne pas {\^e}tre dupe des beaux parleurs,Crimes contre la logique : comment ne pas être dupe des beaux parleurs,,,,,,,,,,Paris,,,les-belles-lettres,,,,,,,,,,,,,french,false,,whyte_j,,,1:argumentation;2:informal_logic
180002,article,whyte_j:2014,,,2014,,Review of \citet{saul_jm:2012},Review of Saul (2012),,,,the-philosophical-quarterly,64,254,209--221,,,,,,,,,,,,,,,,,,,,false,,whyte_j,,,1:pragmatics;2:lying
180003,incollection,whyte_k:2017,,,2017,,Indigeneity and US Settler Colonialism,Indigeneity and US Settler Colonialism,,,,,,,91--101,,,,,,,,,,,,,,,,,,,,false,,whyte_k,,,1:political_philosophy;2:discrimination;3:racism
180004,incollection,whyte_k:2017a,,,2017,,"Indigenous Food Sovereignty, Renewal, and US Settler Colonialism","Indigenous Food Sovereignty, Renewal, and US Settler Colonialism",,,,,,,354--365,,,,,,,,,,,,,,,,,,,,false,,whyte_k,,,1:political_philosophy;2:discrimination;3:racism
180005,incollection,whyte_k:2021,,,2021,,"Sciences of Consent: Indigenous Knowledge, Governance, Value, and Responsibility","Sciences of Consent: Indigenous Knowledge, Governance, Value, and Responsibility",,,,,,,117--130,,,,,,,,,,,,,,,,,,,,false,,whyte_k,,,1:science;2:sociology_of_science
180006,article,whyte_ll:1970,,,1970,,Pierre Curie's Principle of One-Way Process,Pierre Curie's Principle of One-Way Process,,,,studium-generale,23,,525--532,,,,,,,,,Reprinted in \citet[140--147]{fraser_jt-etal:1972},"Reprinted in Fraser, Haber, and Müller (1972)",,,,,,,,,,false,,whyte_ll,,,1:time;2:direction_of_time
