id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
31211,incollection,cicovacki:1999,,,1999,,Rethinking the Concept of Truth: A Critique of Deflationism,Rethinking the Concept of Truth: A Critique of Deflationism,,,,,,,203--221,203,,,,,,,,,,,,,,,,,,,english,false,,,cicovacki,,,1:truth;2:deflationism_about_truth
31212,book,cicovacki:2000,,,2000,,Kant's Legacy: Essays in Honor of L.W.~Beck,Kant's Legacy: Essays in Honor of L.W. Beck,Kant's Legacy: Essays in Honor of L.W.~Beck,Kant's Legacy: Essays in Honor of L.W. Beck,,,,2,,,,rochester_studies_in_philosophy,"Rochester, New York",,,university-of-rochester-press,,,,,,,,,,,,,english,false,,,,cicovacki,,1:history_of_philosophy
31213,incollection,cicovacki:2000a,,,2000,,Paths Traced through Reality: Kant on Commonsense Truths,Paths Traced through Reality: Kant on Commonsense Truths,,,,,,,47--70,47,,,,,,,,,,,,,,,,,,,english,false,,,cicovacki,,,1:method
31214,incollection,cicovacki:2005,,,2005,,Kant's Debt to Leibniz,Kant's Debt to Leibniz,,,,,,,79--92,79,,,,,,,,,,,,,,,,,,,english,false,,,cicovacki,,,1:history_of_philosophy
31215,incollection,cicovacki:2005a,,,2005,,Searching for the Abandoned Soul: Dostoyevsky on the Suffering of Humanity,Searching for the Abandoned Soul: Dostoyevsky on the Suffering of Humanity,,,,,,,367--398,367,,,,,,,,,,,,,,,,,,,english,false,,,cicovacki,,,
31216,article,cid_r:2010,,,2010,,Contra a Necessidade Metaf{\'{\i}}sica da lei ``O Sal se Dissolve em {\'A}gua'',Contra a Necessidade Metafísica da lei “O Sal se Dissolve em Água”,,,,abstracta-linguagem-mente-e-acao,6,1,65--70,65,,,,,,,,,,,,,,,,,,,portuguese,false,,,cid_r,,,1:causation;2:laws_of_nature;3:necessitarianism_about_laws
31217,unpublished,cid_r:unpub,,,,,"Fundamentality: Structures, Powers and Supervenience Dualism","Fundamentality: Structures, Powers and Supervenience Dualism",,,,,,,,,,,,,,,,,Unpublished manuscript,Unpublished manuscript,,,,,,,,,english,false,,,cid_r,,,2:grounding
31218,article,ciecierski_t:2009,,,2009,,The Multiple-Proposition Approach Reconsidered,The Multiple-Proposition Approach Reconsidered,,,,logique-et-analyse,52,208,423--440,423,,,,,,,,,,,,,,,,,,,english,false,,,ciecierski_t,,,1:representation;2:meaning;3:many_propositions
31219,incollection,ciecierski_t:2010,,,2010,,Varieties of Context-Dependence,Varieties of Context-Dependence,,,,,,,63--84,63,,,,,,,,,,,,,,,,,,,english,false,,,ciecierski_t,,,1:representation;2:content_determination;3:content_contextualism
31220,article,ciecierski_t:2017,,,2017,,A Note on Belief Reports and Context Dependence,A Note on Belief Reports and Context Dependence,,,,acta-analytica,32,4,447--464,447,,,,,,,,,,,,,,,,,,,english,false,,,ciecierski_t,,,1:belief;2:belief_reports
31221,incollection,cienki:2007,,,2007,,"Frames, Idealized Cognitive Models, and Domains","Frames, Idealized Cognitive Models, and Domains",,,,,,,170--187,170,,,,,,,,,,,,,,,,,,,english,false,,,cienki,,,1:linguistics;2:cognitive_linguistics
31222,article,cieslinski:2010,,,2010,,"Truth, Conservativeness, and Provability","Truth, Conservativeness, and Provability",,,,mind,119,474,409--422,409,,,,,,,,,,,,,,,,,,,english,false,,,cieslinski,,,1:mathematics
31223,article,cieslinski:2010a,,,2010,,Deflationary Truth and Pathologies,Deflationary Truth and Pathologies,,,,journal-of-philosophical-logic,39,3,325--337,325,,,,,,,,,,,,,,,,,,,english,false,,,cieslinski,,,1:truth;2:deflationism_about_truth
31224,article,cieslinski:2011,,,2011,,T-Equivalences for Positive Sentences,T-Equivalences for Positive Sentences,,,,the-review-of-symbolic-logic,4,2,319--325,319,,,,,,,,,,,,,,,,,,,english,false,,,cieslinski,,,1:truth;2:tarski_truth
31225,article,cieslinski:2015,,,2015,,The Innocence of Truth,The Innocence of Truth,,,,dialectica,69,1,61--85,61,,,,,,,,,,,,,,,,,10.1111/1746-8361.12093,,english,false,,,cieslinski,,,1:truth
31226,incollection,cieslinski:2015a,,,2015,,Typed and Untyped Disquotational Truth,Typed and Untyped Disquotational Truth,,,,,,,307--320,307,,,,,,,,,,,,,,,,,,,english,false,,,cieslinski,,,1:truth;2:disquotationalism
