id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
184917,book,yourgrau_w-vandermerwe:1971,,,1971,,Perspectives in Quantum Theory,Perspectives in Quantum Theory,Perspectives in Quantum Theory,Perspectives in Quantum Theory,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,,false,,,yourgrau_w;vandermerwe_a,,1:quantum_mechanics
184918,incollection,yourgrau_w:1966,,,1966,,"Language, Spatial Concepts, and Physics","Language, Spatial Concepts, and Physics",,,,,,,492--518,,,,,,,,,,,,,,,,,,,,false,,yourgrau_w,,,1:reference;2:indexicals
184919,incollection,yourgrau_w:1968,,,1968,,A Budget of Paradoxes in Physics,A Budget of Paradoxes in Physics,,,,,,,178--209,,,,,,,,,,,,,,,,,,,,false,,yourgrau_w,,,1:physics
184920,incollection,yourgrau_w:1969,,,1969,,Verification of Proof -- An Undecided Issue?,Verification of Proof – An Undecided Issue?,,,,,,,370--399,,,,,,,,,,,,,,,,,,,,false,,yourgrau_w,,,1:representation;2:meaningfulness;3:verificationism_about_language
184921,incollection,yourgrau_w:1976,,,1976,,Cosmology and Logic -- An Intractable Issue?,Cosmology and Logic – An Intractable Issue?,,,,,,,739--754,,,,,,,,,,,,,,,,,,,,false,,yourgrau_w,,,1:physics
184922,article,youschkevitch:1976,,,1976,,The Concept of Function up to the Middle of the 18th and the 19th Century,The Concept of Function up to the Middle of the 18th and the 19th Century,,,,archive-for-the-history-of-the-exact-sciences,16,1,37--85,,,,,,,,,,,,,,,,,10.1007/bf00348305,,,false,,youschkevitch,,,1:logic;2:concept_of_function
184923,article,yousif:2017,,,2017,,Abductive Reasoning and an Omnipotent God: A Response to Daniel Came,Abductive Reasoning and an Omnipotent God: A Response to Daniel Came,,,,european-journal-for-philosophy-of-religion,9,4,239--244,,,,,,,,,,,,,,,,,,,,false,,yousif,,,1:religion;2:divine_attributes;3:divine_omnipotence
184924,incollection,youssef-luthans:2013,,,2013,,"Managing Psychological Capital in Organizations: Cognitive, Affective, Conative, and Social Mechanisms of Happiness","Managing Psychological Capital in Organizations: Cognitive, Affective, Conative, and Social Mechanisms of Happiness",,,,,,,751--766,,,,,,,,,,,,,,,,,,,,false,,youssef;luthans_f,,,1:social_philosophy;2:well_being
184925,incollection,yovel_y:1977,,,1977,,Systematic Philosophy: Ambitions and Critique,Systematic Philosophy: Ambitions and Critique,,,,,,,667--674,,,,,,,,,,,,,,,,,,,,false,,yovel_y,,,1:metaphilosophy
184926,book,yovel_y:1978,,,1978,,Philosophy of History and Action.~Papers Presented at the First Jerusalem Philosophical Encounter,Philosophy of History and Action. Papers Presented at the First Jerusalem Philosophical Encounter,Philosophy of History and Action.~Papers Presented at the First Jerusalem Philosophical Encounter,Philosophy of History and Action. Papers Presented at the First Jerusalem Philosophical Encounter,,,,11,,,philosophical_studies_series,Dordrecht,,,d-reidel-publishing-co,,,,,,,,,,,,,,false,,,yovel_y,,1:action
184927,incollection,yovel_y:1978a,,,1978,,Kant and the History of Reason,Kant and the History of Reason,,,,,,,115--132,,,,,,,,,,,,,,,,,,,,false,,yovel_y,,,1:history_of_philosophy
184928,book,yovel_y:1980,,,1980,,Kant and the Philosophy of History,Kant and the Philosophy of History,,,,,,,,,,"Princeton, New Jersey",,,princeton-university-press,,,,,,,,,,,,,,false,,yovel_y,,,1:history_of_philosophy
184929,book,yovel_y:1989,,,1989,,Kant's Practical Philosophy Reconsidered.~Papers Presented at the 7th Jerusalem Philosophical Encounter (December 1986),Kant's Practical Philosophy Reconsidered. Papers Presented at the 7th Jerusalem Philosophical Encounter (December 1986),Kant's Practical Philosophy Reconsidered.~Papers Presented at the 7th Jerusalem Philosophical Encounter (December 1986),Kant's Practical Philosophy Reconsidered. Papers Presented at the 7th Jerusalem Philosophical Encounter (December 1986),,,,128,,,archives_internationales_d_histoire_des_id_e_es,Den Haag,,,martinus-nijhoff-publishers,,,,,,,,,,,,,,false,,,yovel_y,,1:ethics
184930,incollection,yovel_y:1989a,,,1989,,The Interests of Reason: From Metaphysics to Moral History,The Interests of Reason: From Metaphysics to Moral History,,,,,,,135--148,,,,,,,,,,,,,,,,,,,,false,,yovel_y,,,1:ethics
184931,incollection,yovel_y:2000,,,2000,,Kant and the History of the Will,Kant and the History of the Will,,,,,,,283--310,,,,,,,,,,,,,,,,,,,,false,,yovel_y,,,2:will
184932,incollection,yovel_y:2010,,,2010,,Conversos in Spanish Culture and Religious Reform,Conversos in Spanish Culture and Religious Reform,,,,,,,261--274,,,,,,,,,,,,,,,,,,,,false,,yovel_y,,,1:religion;2:religious_pluralism
184933,book,yovel_y:2018,,,2018,,Kant's Philosophical Revolution.~A Short Guide to the \emph{Critique of Pure Reason},Kant's Philosophical Revolution. A Short Guide to the Critique of Pure Reason,,,,,,,,,,"Princeton, New Jersey",,,princeton-university-press,,,,,,,,,,,,,,false,,yovel_y,,,1:metaphysics;2:transcendental_idealism
