id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
33345,incollection,collins_aw:1984,,,1984,,"Action, Causality and Teleological Explanation","Action, Causality and Teleological Explanation",,,,,,,345--369,,,,,,,,,,,,,,,,,,,,false,,collins_aw,,,1:action;2:reasons_for_action
33346,book,collins_aw:1988,,,1988,,The Nature of Mental Things,The Nature of Mental Things,,,,,,,,,,"Notre Dame, Indiana",,,university-of-notre-dame-press,,,,,,,,,,,,,,false,,collins_aw,,,2:metaphysics_of_mind
33347,incollection,collins_aw:1988a,,,1988,,"Types, Rigidity, and A Posteriori Necessity","Types, Rigidity, and A Posteriori Necessity",,,,,,,195--224,,,,,,,,,,,,,,,,,,,,false,,collins_aw,,,1:reference;2:rigidity
33348,article,collins_aw:1997,,,1997,,Personal Identity and the Coherence of Q-Memory,Personal Identity and the Coherence of Q-Memory,,,,the-philosophical-quarterly,47,186,73--80,,,,,,,,,,,,,,,,,,,,false,,collins_aw,,,1:persons;2:personal_identity;3:parfit
33349,article,collins_aw:1997a,,,1997,,The Psychological Reality of Reasons,The Psychological Reality of Reasons,,,,ratio,10,2,108--123,,,,,,,,,,,,,,,,,,,,false,,collins_aw,,,1:epistemology;2:justification;3:reasons_for_belief
33350,article,collins_aw:1998,,,1998,,On the Question ``Do Numbers Exist?'',On the Question “Do Numbers Exist?”,,,,the-philosophical-quarterly,48,,,,,,,,,,,,,,,,,,,,,,false,,collins_aw,,,1:mathematics;2:nature_of_mathematics;3:mathematical_platonism
33351,book,collins_aw:1999,,,1999,,Possible Experience: Understanding Kant's Critique of Pure Reason,Possible Experience: Understanding Kant's Critique of Pure Reason,,,,,,,,,,"Berkeley, California",,,university-of-california-press,,,,,,,,,,,,,,false,,collins_aw,,,1:history_of_philosophy
33352,incollection,collins_ay:1993,,,1993,,The Empty Tomb in the Gospel according to Mark,The Empty Tomb in the Gospel according to Mark,,,,,,,107--140,,,,,,,,,,,,,,,,,,,,false,,collins_ay,,,1:religion;2:immortality;3:resurrection
33353,incollection,collins_ay:1993a,,,1993,,Response to \citet{kretzmann:1993a},Response to Kretzmann (1993),,,,,,,151--157,,,,,,,,,,,,,,,,,,,,false,,collins_ay,,,1:religion;2:immortality;3:resurrection
33354,book,collins_c:1997,,,1997,,Local Economy,Local Economy,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,,false,,collins_c,,,1:linguistics;2:syntax
33355,article,collins_co:1997,,,1997,,Searle on Consciousness and Dualism,Searle on Consciousness and Dualism,,,,international-journal-of-philosophical-studies,5,1,15--33,,,,,,,,,,,,,,,,,,,,false,,collins_co,,,1:mind_body;2:dualism
33356,incollection,collins_d:2009,,,2009,,Magic,Magic,,,,,,,541--551,,,,,,,,,,,,,,,,,,,,false,,collins_d,,,1:science;2:pseudoscience
33357,book,collins_da-etal:2023,,,2023,,The Moral Psychology of Trust,The Moral Psychology of Trust,The Moral Psychology of Trust,The Moral Psychology of Trust,,,,,,,,"Lanham, Maryland",,,rowman-littlefield,,,,,,,,,,,,,,false,,,collins_da;vidmarjovanovic;alfano,,1:feeling
