id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
62061,incollection,glymour_b:2011,,,2011,,Predicting Populations by Modeling Individuals,Predicting Populations by Modeling Individuals,,,,,,,231--252,231,,,,,,,,,,,,,,,,,,,english,false,,,glymour_b,,,1:causation;2:natural_kinds
62062,book,glymour_cn-cooper:1999,,,1999,,"Computation, Causation and Discovery","Computation, Causation and Discovery","Computation, Causation and Discovery","Computation, Causation and Discovery",,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,english,false,,,,glymour_cn;cooper_gf,,1:method
62063,unpublished,glymour_cn-etal:1985,,,1985,,Discovering Causal Structure: Text and User's Manual for \textsc{tetrad},Discovering Causal Structure: Text and User's Manual for tetrad,,,,,,,,,,,,,,,,,"Unpublished manuscript, Philosophy Department, Carnegie Mellon University","Unpublished manuscript, Philosophy Department, Carnegie Mellon University",,,,,,,,,english,false,,,glymour_cn;sheines;spirtes,,,1:method;2:induction
62064,techreport,glymour_cn-etal:1987,,,1987,,The Expected Complexity of Problem Solving is Less Than 2,The Expected Complexity of Problem Solving is Less Than 2,,,,,,cmu--lcl--87--6,,,,,"Pittsburgh, Pennsylvania",laboratory_for_computational_linguistics_carnegie_mellon_university,,,,,,,,,,,,,,,english,false,,,glymour_cn;kelly_kt;spirtes,,,1:computation;2:computability;3:computational_complexity
62065,article,glymour_cn-etal:1990,,,1990,,Independence Relations Produced by Parameter Values in Causal Models,Independence Relations Produced by Parameter Values in Causal Models,,,,philosophical-topics,18,2,55--70,55,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn;spirtes;scheines_r,,,1:causation
62066,incollection,glymour_cn-etal:1991,,,1991,,Artificial Intelligence and Hard Problems: The Expected Complexity of Problem Solving,Artificial Intelligence and Hard Problems: The Expected Complexity of Problem Solving,,,,,,,105--128,105,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn;kelley_k;spirtes,,,1:computation;2:computability;3:computational_complexity
62067,incollection,glymour_cn-etal:1994,,,1994,,In Place of Regression,In Place of Regression,,,,,,,339--366,339,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn;spirtes;scheines_r,,,1:mathematics;2:statistics
62068,book,glymour_cn-etal:2009,,,2009,,"Logic, Methodology and Philosophy of Science XIII: Proceedings of the Thirteenth International Congress, Beijing 2007","Logic, Methodology and Philosophy of Science XIII: Proceedings of the Thirteenth International Congress, Beijing 2007","Logic, Methodology and Philosophy of Science XIII: Proceedings of the Thirteenth International Congress, Beijing 2007","Logic, Methodology and Philosophy of Science XIII: Proceedings of the Thirteenth International Congress, Beijing 2007",,,,,,,,,London,,,kings-college-publications,,,,,,,,,,,,,english,false,,,,glymour_cn;wang_we;westerstahl,,1:science
62069,article,glymour_cn-friedman:1972,,,1972,,If Quanta Had Logic,If Quanta Had Logic,,,,journal-of-philosophical-logic,1,1,16--28,16,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn;friedman_mic,,,1:quantum_mechanics;2:quantum_logic
62070,incollection,glymour_cn-kelly:1992,,,1992,,Thoroughly Modern Meno,Thoroughly Modern Meno,,,,,,,3--22,3,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn;kelly_kt,,,1:epistemology
62071,incollection,glymour_cn-sanchezromero:2019,,,2019,,"Helmholtz's Vision: Underdetermination, Behavior and the Brain","Helmholtz's Vision: Underdetermination, Behavior and the Brain",,,,,,,237--246,237,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn;sanchezromero,,,2:cognition;3:thinking
62072,incollection,glymour_cn-spirtes:1994,,,1994,,Selecting Variables and Getting to the Truth,Selecting Variables and Getting to the Truth,,,,,,,273--280,273,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn;spirtes,,,1:method;2:induction
62073,incollection,glymour_cn-wimberly:2007,,,2007,,Actual Causes and Thought Experiments,Actual Causes and Thought Experiments,,,,,,,43--68,43,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn;wimberly_f,,,1:causation
62074,incollection,glymour_cn:1971,,,1971,,Theoretical Realism and Theoretical Equivalence,Theoretical Realism and Theoretical Equivalence,,,,,,,275--288,275,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn,,,1:metaphysics;2:realism
62075,article,glymour_cn:1972,,,1972,,"Topology, Cosmology and Convention","Topology, Cosmology and Convention",,,,synthese,24,1/2,195--218,195,,,,,,,,,Reprinted in \citet[193--216]{suppes:1973},Reprinted in Suppes (1973),,,,,,,,,english,false,,,glymour_cn,,,1:space_spacetime
62076,incollection,glymour_cn:1977,,,1977,,Indistinguishable Space-Times and the Fundamental Group,Indistinguishable Space-Times and the Fundamental Group,,,,,,,50--60,50,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn,,,1:structuralism;2:symmetry;3:gauge_theories
62077,article,glymour_cn:1982,,,1982,,Conceptual Scheming or Confessions of a Metaphysical Realist,Conceptual Scheming or Confessions of a Metaphysical Realist,,,,synthese,51,,169--180,169,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn,,,1:metaphysics;2:realism
62078,incollection,glymour_cn:1982a,,,1982,,Causal Inference and Causal Explanation,Causal Inference and Causal Explanation,,,,,,,179--192,179,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn,,,1:explanation;2:explanation_in_science
62079,incollection,glymour_cn:1983,,,1983,,The Theory of Your Dreams,The Theory of Your Dreams,,,,,,,57--72,57,,,,,,,,,,,,,,,,,,,english,false,,,glymour_cn,,,1:psychology;2:psychoanalysis
