id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
31343,article,clancey:1985a,,,1985,,Review of \citet{sowa_jf:1984},Review of Sowa (1984),,,,artificial-intelligence,27,27,1,1,113--124,113,,,,,,,,,,,,,,,,,,,english,false,,,clancey,,,1:psychology;2:cognitive_science;3:cognitive_semantics
31344,article,clancey:1992,,,1992,,Model Construction Operators,Model Construction Operators,,,,artificial-intelligence,53,53,2/3,2,1--115,1,,,,,,,,,,,,,,,,,,,english,false,,,clancey,,,1:ai;2:machine_reasoning;3:expert_systems
31345,article,clancey:1993,,,1993,,Notes on `Heuristic Classification',Notes on ‘Heuristic Classification',,,,artificial-intelligence,59,59,1/2,1,191--196,191,,,,,,,,,,,,,,,,,,,english,false,,,clancey,,,1:information;2:knowledge_representation
31346,article,clancey:1993a,,,1993,,Notes on `Epistemology of a Rule-Based System',Notes on ‘Epistemology of a Rule-Based System',,,,artificial-intelligence,59,59,1/2,1,197--204,197,,,,,,,,,,,,,,,,,,,english,false,,,clancey,,,1:information
31347,book,clancy_g:2004,,,2004,,De l'esth{\'e}tique de la violence,De l'esthétique de la violence,,,,,,,,,,,,morari,Chamb{\'e}ry,,,compact,,,,,,,,,,,,,french,false,,,clancy_g,,,1:aesthetics
31348,article,clancy_p:1972,,,1972,,Analysis of a Conversation,Analysis of a Conversation,,,,anthropological-linguistics,14,14,3,3,78--86,78,,,,,,,,,,,,,,,,,,,english,false,,,clancy_p,,,1:linguistics;2:dialogue;3:conversation_analysis
31349,article,clancy_s:2013,,,2013,,A Strong Compatibilist Account of Settling [on \citet{steward_h:2012}],A Strong Compatibilist Account of Settling [on Steward (2012)],,,,inquiry,56,56,6,6,653--665,653,,,,,,,,,,,,,,,,,,,english,false,,,clancy_s,,,1:determinism;2:free_action
31350,article,clancy_s:2016,,,2016,,"Psychopaths, Ill-Will, and the Wrong-Making Features of Actions","Psychopaths, Ill-Will, and the Wrong-Making Features of Actions",,,,ergo,3,3,29,29,755--777,755,,,,,,,,,,,,,,,,,,,english,false,,,clancy_s,,,1:action;2:responsibility
31351,article,clancy_s:2019,,,2019,,Virtue and the Problem of Conceptualization,Virtue and the Problem of Conceptualization,,,,philosophers-imprint,19,19,22,22,,,,,,,,,,,,,,,,,,http://hdl.handle.net/2027/spo.3521354.0019.022,,http://hdl.handle.net/2027/spo.3521354.0019.022,english,false,,,clancy_s,,,
31352,book,claparede:1905,,,1905,,"Rapports et Comptes Rendu du Congr{\`e}s International de Philosophie, IIme session, tenue {\`a} Gen{\`e}ve du 4 au 8 septembre 1904","Rapports et Comptes Rendu du Congrès International de Philosophie, IIme session, tenue à Genève du 4 au 8 septembre 1904","Rapports et Comptes Rendu du Congr{\`e}s International de Philosophie, IIme session, tenue {\`a} Gen{\`e}ve du 4 au 8 septembre 1904","Rapports et Comptes Rendu du Congrès International de Philosophie, IIme session, tenue à Genève du 4 au 8 septembre 1904",,,,,,,,,,,Gen{\`e}ve,,,henry-kundig,,,,,,,,,,,,,french,false,,,,claparede,,1:history_of_philosophy
31353,incollection,claparede:1905a,,,1905,,La psychologie peut-elle {\^e}tre une science explicative?,La psychologie peut-elle être une science explicative?,,,,,,,,,579--580,579,,,,,,,,,,,,,,,,,,,french,false,,,claparede,,,1:psychology
31354,incollection,claparede:1925,,,1925,,La d{\'e}finition de la volont{\'e},La définition de la volonté,,,,,,,,,661--665,661,,,,,,,,,,,,,,,,,,,french,false,,,claparede,,,2:will
31355,book,claparede:1930,,,1930,,L'{\'e}motion ``pure'',L'émotion “pure”,,,,,,,22,22,,,,archives_de_psychologie,Oxford,,,librairie-kundig,,,,,,,,,,,,,french,false,,,claparede,,,1:feeling;2:emotions
31356,article,claparede:1995,,,1995,,Recognition and Selfhood,Recognition and Selfhood,,,,consciousness-and-cognition,4,4,,,371--378,371,,,,,,,,,,,,,,,,,,,english,false,,,claparede,,,1:political_philosophy;2:anerkennung
