id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
83818,incollection,johnson_jt:2007,,,2007,,Just War Thinking in Recent American Religious Debate over Military Force,Just War Thinking in Recent American Religious Debate over Military Force,,,,,,,76--98,76,,,,,,,,,,,,,,,,,,,english,false,,,johnson_jt,,,1:social_philosophy;2:war;3:just_war
83819,incollection,johnson_k-lepore:2002,,,2002,,Does Syntax Reveal Semantics? A Case Study of Complex Demonstratives,Does Syntax Reveal Semantics? A Case Study of Complex Demonstratives,,,,,,,17--41,17,,,,,,,,,,,,,,,,,,,english,false,,,johnson_k;lepore,,,1:reference;2:demonstratives
83820,article,johnson_k:2004,,,2004,,On the Systematicity of Language and Thought,On the Systematicity of Language and Thought,,,,the-journal-of-philosophy,101,3,111--139,111,,,,,,,,,,,,,,,,,,,english,false,,,johnson_k,,,2:cognition
83821,article,johnson_k:2004a,,,2004,,"Tacit Belief, Semantics and Grammar","Tacit Belief, Semantics and Grammar",,,,linguistics-and-philosophy,27,1,57--93,57,,,,,,,,,,,,,,,,,,,english,false,,,johnson_k,,,1:belief
83822,article,johnson_k:2008,,,2008,,An Overview of Lexical Semantics,An Overview of Lexical Semantics,,,,philosophy-compass,3,1,119--134,119,,,,,,,,,,,,,,,,,,,english,false,,,johnson_k,,,1:semantics
83823,incollection,johnson_k:2009,,,2009,,On Failing to Capture Some (or Even All) of What is Communicated,On Failing to Capture Some (or Even All) of What is Communicated,,,,,,,129--146,129,,,,,,,,,,,,,,,,,,,english,false,,,johnson_k,,,1:representation;2:content
83824,article,johnson_k:2011,,,2011,,Quantitative Realizations of Philosophy of Science: William Whewell and Statistical Methods,Quantitative Realizations of Philosophy of Science: William Whewell and Statistical Methods,,,,studies-in-history-and-philosophy-of-science,42,3,399--409,399,,,,,,,,,,,,,,,,,,,english,false,,,johnson_k,,,1:properties;2:quantities
83825,book,johnson_kl-lauber:2016,,,2016,,The T\&T Clark Companion to the Doctrine of Sin,The T&T Clark Companion to the Doctrine of Sin,The T\&T Clark Companion to the Doctrine of Sin,The T&T Clark Companion to the Doctrine of Sin,,,,,,,,bloomsbury_companions,London,,,bloomsbury-academic,,,,,,,,,,,,,english,false,,,,johnson_kl;lauber_d,,1:religion;2:heaven_and_hell;3:sin
83826,incollection,johnson_l:2018,,,2018,,Introduction: The Ethics of Control,Introduction: The Ethics of Control,,,,,,,25--32,25,,,,,,,,,,,,,,,,,,,english,false,,,johnson_l,,,1:animals;2:animal_ethics
83827,book,johnson_le:1992,,,1992,,Focusing on Truth,Focusing on Truth,,,,,,,,,,,London,,,routledge,,,,,,,,,,,,,english,false,,,johnson_le,,,1:truth
83828,book,johnson_lsm-rommelfanger:2018,,,2018,,The Routledge Handbook of Neuroethics,The Routledge Handbook of Neuroethics,The Routledge Handbook of Neuroethics,The Routledge Handbook of Neuroethics,,,,,,,,routledge_handbooks_in_applied_ethics,London,,,routledge,,,,,,,,,,,,,english,false,,,,johnson_lsm;rommelfanger,,1:ethics;2:evolutionary_ethics;3:debunking_of_ethical_norms
83829,incollection,johnson_lt:2003,,,2003,,Paul's Ecclesiology,Paul's Ecclesiology,,,,,,,199--211,199,,,,,,,,,,,,,,,,,,,english,false,,,johnson_lt,,,1:religion;3:bible
83830,techreport,johnson_m-klein:1986,,,1986,,"Discourse, Anaphora, and Parsing","Discourse, Anaphora, and Parsing",,,,,,csli--86--63,,,,,"Stanford, California",center_for_the_study_of_language_and_information,,,,,,,,,,,,,,,english,false,,,johnson_m;klein_e,,,1:reference;2:anaphora
83831,book,johnson_m:1987,,,1987,,"The Body in the Mind: The Bodily Basis of Meaning, Imagination, and Reason","The Body in the Mind: The Bodily Basis of Meaning, Imagination, and Reason",,,,,,,,,,,"Chicago, Illinois",,,university-of-chicago-press,,,,,,,,,,,,,english,false,,,johnson_m,,,
83832,unpublished,johnson_m:1987a,,,1987,,The Use of Knowledge of Language,The Use of Knowledge of Language,,,,,,,,,,,,,,,,,"Unpublished manuscript, Massachusetts Institute of Technology","Unpublished manuscript, Massachusetts Institute of Technology",,,,,,,,,english,false,,,johnson_m,,,1:linguistics;2:parsing;3:parsing_algorithms
83833,book,johnson_m:1988,,,1988,,Attribute-Value Logic and the Theory of Grammar,Attribute-Value Logic and the Theory of Grammar,,,,,,,,,,,"Stanford, California",,,csli-publications,,,,,,,,,,,,,english,false,,,johnson_m,,,1:linguistics;2:grammar;3:feature_structures
83834,incollection,johnson_m:1988a,,,1988,,Some Constraints on Embodied Analogical Understanding,Some Constraints on Embodied Analogical Understanding,,,,,,,25--40,25,,,,,,,,,,,,,,,,,,,english,false,,,johnson_m,,,1:argumentation;2:analogy
83835,incollection,johnson_m:1990,,,1990,,Expressing Disjunctive and Negative Feature Constraints with Classical First-Order Logic,Expressing Disjunctive and Negative Feature Constraints with Classical First-Order Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,johnson_m,,,1:linguistics;2:grammar;3:feature_structures
83836,article,johnson_m:1991,,,1991,,Does Natural Philosophy Prove the Immaterial? A Rejoinder [to \citet{knasas:1990}],Does Natural Philosophy Prove the Immaterial? A Rejoinder [to Knasas (1990)],,,,american-catholic-philosophical-quarterly,65,1,97--105,97,,,,,,,,,,,,,,,,,,,english,false,,,johnson_m,,,1:religion;2:arguments_for_the_existence_of_god;3:ontological_argument
83837,book,johnson_m:1993,,,1993,,Moral Imagination: Implications of Cognitive Science for Ethics,Moral Imagination: Implications of Cognitive Science for Ethics,,,,,,,,,,,"Chicago, Illinois",,,university-of-chicago-press,,,,,,,,,,,,,english,false,,,johnson_m,,,1:psychology;2:cognitive_psychology
83838,article,johnson_m:1994,,,1994,,Two Ways of Formalizing Grammars,Two Ways of Formalizing Grammars,,,,linguistics-and-philosophy,17,3,221--248,221,,,,,,,,,,,,,,,,,,,english,false,,,johnson_m,,,1:linguistics;2:grammar;3:grammar_formalisms
