id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
23348,incollection,buchan_m:2006,,,2006,,Lacan and Socrates,Lacan and Socrates,,,,,,,,,463--475,463,,,,,,,,,,,,,,,,,,,english,false,,,buchan_m,,,1:structuralism;2:post_structuralism
23349,incollection,buchan_t-sparling:1985,,,1985,,The Management of Dangerous Patients in Zimbabwe,The Management of Dangerous Patients in Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,buchan_t;sparling,,,1:medicine
23350,book,buchanan_a-powell:2018,,,2018,,The Evolution of Moral Progress,The Evolution of Moral Progress,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780190868413.001.0001,,english,false,,,buchanan_a;powell_r,,,1:history;2:progress_in_history
23351,incollection,buchanan_a-sreenivasan:2018,,,2018,,Taking International Legality Seriously: A Methodology for Human Rights,Taking International Legality Seriously: A Methodology for Human Rights,,,,,,,,,211--229,211,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a;sreenivasan,,,1:political_philosophy;2:rights;3:human_rights
23352,incollection,buchanan_a-stell:2016,,,2016,,McMahan's Hazardous (and Irrelevant) Thought Experiment,McMahan's Hazardous (and Irrelevant) Thought Experiment,,,,,,,,,21--24,21,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a;stell_l,,,1:political_philosophy;2:war
23353,article,buchanan_a:1975,,,1975,,Revisability and Rational Choice,Revisability and Rational Choice,,,,canadian-journal-of-philosophy,5,5,,,395--408,395,,,,,,,,,Reprinted in \citet[179--192]{richardson_hes:1999},Reprinted in Richardson (1999),,,,,,,,,english,false,,,buchanan_a,,,1:decision_theory
23354,article,buchanan_a:1975a,,,1975,,Distributive Justice and Legitimate Expectations,Distributive Justice and Legitimate Expectations,,,,philosophical-studies,28,28,6,6,419--425,419,,,,,,,,,Reprinted in \citet[179--192]{richardson_hes:1999},Reprinted in Richardson (1999),,,,,,,10.1007/bf00372903,,english,false,,,buchanan_a,,,1:political_philosophy;2:justice
23355,article,buchanan_a:1977,,,1977,,Categorical Imperatives and Moral Principles,Categorical Imperatives and Moral Principles,,,,philosophical-studies,31,31,4,4,249--260,249,,,,,,,,,,,,,,,,,10.1007/bf01855230,,english,false,,,buchanan_a,,,1:ethics;3:categorical_imperative
23356,article,buchanan_a:1989,,,1989,,Assessing the Communitarian Critique of Liberalism,Assessing the Communitarian Critique of Liberalism,,,,ethics,99,99,4,4,852--882,852,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy
23357,article,buchanan_a:2000,,,2000,,Rawls's Law of Peoples: Rules for a Vanished Westphalian World,Rawls's Law of Peoples: Rules for a Vanished Westphalian World,,,,ethics,110,110,4,4,697--721,697,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy;2:international_relations;3:law_of_peoples
23358,incollection,buchanan_a:2000a,,,2000,,"Justice, Legitimacy, and Human Rights","Justice, Legitimacy, and Human Rights",,,,,,,,,73--89,73,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy;2:rights;3:human_rights
23359,article,buchanan_a:2002,,,2002,,Beyond National Interest,Beyond National Interest,,,,philosophical-topics,30,30,2,2,97--131,97,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy;2:international_relations;3:cosmopolitanism
23360,incollection,buchanan_a:2003,,,2003,,Introduction,Introduction,,,,,,,,,1--15,1,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy
23361,incollection,buchanan_a:2003a,,,2003,,"The Quebec Secession Issue: Democracy, Minority Rights, and the Rule of Law","The Quebec Secession Issue: Democracy, Minority Rights, and the Rule of Law",,,,,,,,,238--271,238,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy;2:nationalism;3:secession
23362,incollection,buchanan_a:2007,,,2007,,Secession and Nationalism,Secession and Nationalism,,,,,,,,,755--766,755,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy;2:nationalism;3:secession
23363,incollection,buchanan_a:2010,,,2010,,Social Moral Epistemology and the Tasks of Ethics,Social Moral Epistemology and the Tasks of Ethics,,,,,,,,,105--125,105,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:ethics
23364,book,buchanan_a:2011,,,2011,,Beyond Humanity?,Beyond Humanity?,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199587810.001.0001,,english,false,,,buchanan_a,,,1:ethics;2:transhumanism
23365,incollection,buchanan_a:2012,,,2012,,Human Rights,Human Rights,,,,,,,,,279--297,279,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy;2:rights;3:human_rights
23366,article,buchanan_a:2012a,,,2012,,The Open-Ended Normativity of the Ethical [on \citet{kitcher_ph:2011}],The Open-Ended Normativity of the Ethical [on Kitcher (2011)],,,,analyse-kritik,34,34,1,1,81--94,81,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:ethics;2:evolutionary_ethics
23367,book,buchanan_a:2013,,,2013,,The Heart of Human Rights,The Heart of Human Rights,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199325382.001.0001,,english,false,,,buchanan_a,,,1:political_philosophy;2:rights;3:human_rights
23368,incollection,buchanan_a:2014,,,2014,,The Egalitarianism of Human Rights,The Egalitarianism of Human Rights,,,,,,,,,77--113,77,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy;2:rights;3:human_rights
23369,incollection,buchanan_a:2015,,,2015,,Why \emph{International Legal} Human Rights?,Why International Legal Human Rights?,,,,,,,,,244--262,244,,,,,,,,,,,,,,,,,,,english,false,,,buchanan_a,,,1:political_philosophy;2:rights;3:human_rights
