id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
176138,article,waldow:2009,,,2009,,Hume's Belief in Other Minds,Hume's Belief in Other Minds,,,,british-journal-for-the-history-of-philosophy,17,17,1,1,119--132,119,,,,,,,,,,,,,,,,,,,english,false,,,waldow,,,1:skepticism;2:other_minds
176139,article,waldow:2010,,,2010,,The Pretense of Skepticism and Its Nonepistemological Relevance in Early Modern Philosophy,The Pretense of Skepticism and Its Nonepistemological Relevance in Early Modern Philosophy,,,,history-of-philosophy-quarterly,27,27,1,1,35--55,35,,,,,,,,,,,,,,,,,,,english,false,,,waldow,,,1:skepticism
176140,incollection,waldow:2010a,,,2010,,Triggers of Thought: Impressions within Hume's Theory of Mind,Triggers of Thought: Impressions within Hume's Theory of Mind,,,,,,,,,105--121,105,,,,,,,,,,,,,,,,,,,english,false,,,waldow,,,1:representation;2:ideas
176141,incollection,waldow:2010b,,,2010,,Empiricism and Its Roots in the Ancient Medical Tradition,Empiricism and Its Roots in the Ancient Medical Tradition,,,,,,,,,287--308,287,,,,,,,,,,,,,,,,,,,english,false,,,waldow,,,1:medicine
176142,article,waldow:2012,,,2012,,Sympathy and the Mechanics of Character Change,Sympathy and the Mechanics of Character Change,,,,hume-studies,38,38,2,2,221--242,221,,,,,,,,,,,,,,,,,,,english,false,,,waldow,,,1:feeling
176143,incollection,waldow:2013,,,2013,,Back to the Facts -- Herder on the Normative Role of Sensibility and Imagination,Back to the Facts – Herder on the Normative Role of Sensibility and Imagination,,,,,,,,,115--134,115,,,,,,,,,,,,,,,,,,,english,false,,,waldow,,,1:ethics
176144,article,waldow:2016,,,2016,,Natural History and the Formation of the Human Being: Kant on Active Forces,Natural History and the Formation of the Human Being: Kant on Active Forces,,,,studies-in-history-and-philosophy-of-science,58,58,,,67--76,67,,,,,,,,,,,,,,,,,,,english,false,,,waldow,,,1:properties;2:powers;3:forces
176145,incollection,waldow:2017,,,2017,,Between History and Nature: Herder's Human Being and the Naturalization of Reason,Between History and Nature: Herder's Human Being and the Naturalization of Reason,,,,,,,,,147--165,147,,,,,,,,,,,,,,,,,,,english,false,,,waldow,,,1:rationality
176146,incollection,waldow:2018,,,2018,,Descartes,Descartes,,,,,,,,,45--62,45,,,,,,,,,,,,,,,,,,,english,false,,,waldow,,,1:epistemology
176147,book,waldow:2020,,,2020,,Experience Embodied: Early Modern Accounts of the Human Place in Nature,Experience Embodied: Early Modern Accounts of the Human Place in Nature,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780190086114.001.0001,,english,false,,,waldow,,,1:social_sciences;2:anthropology
