id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
49842,article,everett_a:2005,,,2005,,Recent Defenses of Descriptivism,Recent Defenses of Descriptivism,,,,mind-and-language,20,1,103--139,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:language;2:quotation
49843,article,everett_a:2007,,,2007,,"Pretense, Existence, and Fictional Objects","Pretense, Existence, and Fictional Objects",,,,philosophy-and-phenomenological-research,74,1,56--80,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:ontology;2:abstract_objects;3:ficta
49844,article,everett_a:2009,,,2009,,"Intrinsic Finks, Masks, and Mimics","Intrinsic Finks, Masks, and Mimics",,,,erkenntnis,71,2,191--203,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:properties;2:dispositions
49845,book,everett_a:2013,,,2013,,The Non-Existent,The Non-Existent,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199674794.001.0001,,,false,,everett_a,,,1:ontology;3:nonexistents
49846,article,everett_a:2013a,,,2013,,"Disquotationalism, Reference, and Object Dependence","Disquotationalism, Reference, and Object Dependence",,,,philosophical-studies,165,3,939--955,,,,,,,,,,,,,,,,,10.1007/s11098-012-9961-0,,,false,,everett_a,,,1:representation;2:singular_thought
49847,article,everett_a:2014,,,2014,,Sainsbury on Thinking about Fictional Things,Sainsbury on Thinking about Fictional Things,,,,acta-analytica,29,2,181--194,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:ontology;2:abstract_objects;3:ficta
49848,article,everett_a:2017,,,2017,,Berg on Belief Reports,Berg on Belief Reports,,,,philosophia,45,1,35--47,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:belief;2:belief_reports
49849,article,everett_b-etal:2023,,,2023,,Locating Temporal Passage in a Block World,Locating Temporal Passage in a Block World,,,,ergo,10,9,237--273,,,,,,,,,,,,,,,,,10.3998/ergo.4639,,,false,,everett_b;latham_aj;miller_k,,,1:time;2:experience_of_time;3:experience_of_passage
49850,article,everett_h:1957,,,1957,,`Relative State' Formulation of Quantum Mechanics,‘Relative State' Formulation of Quantum Mechanics,,,,reviews-of-modern-physics,29,,133--161,,,,,,,,,,,,,,,,,,,,false,,everett_h,,,1:quantum_mechanics;2:bohmian_mechanics
49851,incollection,everett_jac:2016,,,2016,,Should Men Be Allowed to Discuss Abortion?,Should Men Be Allowed to Discuss Abortion?,,,,,,,175--180,,,,,,,,,,,,,,,,,,,,false,,everett_jac,,,1:ethics;2:procreation;3:abortion
49852,article,everett_jo-etal:2002,,,2002,,Ontology Applications and Design: Making Ontologies Work for Resolving Redundancies across Documents,Ontology Applications and Design: Making Ontologies Work for Resolving Redundancies across Documents,,,,communications-of-the-association-for-computing-machinery,45,2,55--60,,,,,,,,,,,,,,,,,,,,false,,everett_jo;bobrow_dg;stolle_r;crouch_r;depaiva;condoravdi;vandenberg_m;polanyi_l,,,1:ontology;2:ai_ontology
49853,article,everett_jo:1999,,,1999,,Topological Evidence of Teleology: Deriving Function from Structure via Evidential Reasoning,Topological Evidence of Teleology: Deriving Function from Structure via Evidential Reasoning,,,,artificial-intelligence,113,1/2,149--202,,,,,,,,,,,,,,,,,,,,false,,everett_jo,,,1:ai;2:machine_learning;3:qualitative_reasoning
49854,article,everett_tj:2000,,,2000,,"Other Voices, Other Minds","Other Voices, Other Minds",,,,australasian-journal-of-philosophy,78,,213--222,,,,,,,,,,,,,,,,,,,,false,,everett_tj,,,1:skepticism;2:other_minds
49855,article,everett_tj:2000a,,,2000,,A Simple Logic for Comparisons and Vagueness,A Simple Logic for Comparisons and Vagueness,,,,synthese,123,,263--278,,,,,,,,,,,,,,,,,,,,false,,everett_tj,,,1:semantics;2:comparative_constructions
49856,article,everett_tj:2006,,,2006,,Antiskeptical Conditionals,Antiskeptical Conditionals,,,,philosophy-and-phenomenological-research,73,3,505--536,,,,,,,,,,,,,,,,,,,,false,,everett_tj,,,1:skepticism
49857,article,everett_tj:2010,,,2010,,Observation and Induction,Observation and Induction,,,,logos-episteme,1,2,303--324,,,,,,,,,,,,,,,,,,,,false,,everett_tj,,,1:method;2:induction
49858,book,everett_wg:1932,,,1932,,The Uniqueness of Man,The Uniqueness of Man,,,,,,"16,1",,,university_of_california_publications_in_philosophy,"Berkeley, California",,,university-of-california-press,,,,,,,,,,,,,,false,,everett_wg,,,1:social_sciences;2:anthropology
49859,article,everitt:1981,,,1981,,A Problem for the Eliminative Materialist,A Problem for the Eliminative Materialist,,,,mind,90,,428--434,,,,,,,,,,,,,,,,,,,,false,,everitt,,,2:reduction
49860,article,everitt:1983,,,1983,,How Not to Solve a Problem for the Eliminative Materialist,How Not to Solve a Problem for the Eliminative Materialist,,,,mind,92,,590--592,,,,,,,,,,,,,,,,,,,,false,,everitt,,,2:reduction
49861,article,everitt:1989,,,1989,,Pain and Perception,Pain and Perception,,,,proceedings-of-the-aristotelian-society,89,,113--124,,,,,,,,,,,,,,,,,,,,false,,everitt,,,1:feeling;2:pain
49862,article,everitt:1991,,,1991,,Strawson on Laws and Regularities,Strawson on Laws and Regularities,,,,analysis,51,,206--208,,,,,,,,,,,,,,,,,,,,false,,everitt,,,1:causation;2:laws_of_nature
49863,article,everitt:1995,,,1995,,Kant's Discussion of the Ontological Argument,Kant's Discussion of the Ontological Argument,,,,kant-studien,86,4,385--405,,,,,,,,,,,,,,,,,,,,false,,everitt,,,1:religion;2:arguments_for_the_existence_of_god;3:ontological_argument
49864,book,everitt:2004,,,2004,,The Non-Existence of God,The Non-Existence of God,,,,,,,,,,London,,,routledge,,,,,,,,,,,,,,false,,everitt,,,1:religion;2:atheism
49865,article,everitt:2010,,,2010,,The Divine Attributes,The Divine Attributes,,,,philosophy-compass,5,1,78--90,,,,,,,,,,,,,,,,,,,,false,,everitt,,,1:religion;2:divine_attributes
49866,incollection,everitt:2013,,,2013,,Problems with Omnipotence,Problems with Omnipotence,,,,,,,147--157,,,,,,,,,,,,,,,,,,,,false,,everitt,,,1:religion;2:divine_attributes;3:divine_omnipotence
49867,article,evers_da-deng:2016,,,2016,,Acknowledgement and the Paradox of Tragedy,Acknowledgement and the Paradox of Tragedy,,,,philosophical-studies,173,2,337--350,,,,,,,,,,,,,,,,,10.1007/s11098-015-0495-0,,,false,,evers_da;deng_n,,,1:aesthetics;2:drama;3:tragedy
49868,article,evers_da:2009,,,2009,,Humean Agent-Neutral Reasons?,Humean Agent-Neutral Reasons?,,,,philosophical-explorations,12,1,55--67,,,,,,,,,,,,,,,,,,,,false,,evers_da,,,1:action;2:reasons_for_action
49869,article,evers_da:2010,,,2010,,The End-Relational Theory of `Ought' and the Weight of Reasons,The End-Relational Theory of ‘Ought' and the Weight of Reasons,,,,dialectica,64,3,405--417,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.2010.01235.x,,,false,,evers_da,,,2:normativity
49870,article,evers_da:2011,,,2011,,The Standard-Relational Theory of `Ought' and the Oughtistic Theory of Reasons,The Standard-Relational Theory of ‘Ought' and the Oughtistic Theory of Reasons,,,,australasian-journal-of-philosophy,89,1,131--147,,,,,,,,,,,,,,,,,,,,false,,evers_da,,,2:normativity
49871,article,evers_da:2011a,,,2011,,Two Objections to Wide-Scoping,Two Objections to Wide-Scoping,,,,grazer-philosophische-studien,83,,251--255,,,,,,,,,,,,,,,,,,,,false,,evers_da,,,
49872,article,evers_da:2013,,,2013,,Weight for Stephen Finlay,Weight for Stephen Finlay,,,,philosophical-studies,163,3,737--749,,,,,,,,,,,,,,,,,10.1007/s11098-011-9842-y,,,false,,evers_da,,,
49873,article,evers_da:2014,,,2014,,In Defence of Proportionalism,In Defence of Proportionalism,,,,european-journal-of-philosophy,22,2,313--320,,,,,,,,,,,,,,,,,,,,false,,evers_da,,,1:law;3:punishment
49874,article,evers_da:2015,,,2015,,Street on Evolution and the Normativity of Epistemic Reasons,Street on Evolution and the Normativity of Epistemic Reasons,,,,synthese,192,11,3663--3676,,,,,,,,,,,,,,,,,,,,false,,evers_da,,,1:epistemology
49875,incollection,evers_j:1984,,,1984,,Karl Olivecrona's Theory of Legal Rules as Independent Imperatives,Karl Olivecrona's Theory of Legal Rules as Independent Imperatives,,,,,,,553--558,,,,,,,,,,,,,,,,,,,,false,,evers_j,,,1:law
49876,incollection,evers_k:2015,,,2015,,Can we Be Epigenetically Proactive?,Can we Be Epigenetically Proactive?,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,evers_k,,,1:biology
49877,incollection,evers_k:2017,,,2017,,Neuroethics,Neuroethics,,,,,,,316--340,,,,,,,,,,,,,,,,,,,,false,,evers_k,,,1:medicine;2:medical_ethics
49878,book,everson:1990,,,1990,,Epistemology,Epistemology,Epistemology,Epistemology,,,,1,,,companions_to_ancient_thought,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,,false,,,everson,,1:epistemology
49879,incollection,everson:1990a,,,1990,,Introduction,Introduction,,,,,,,1--10,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:epistemology
49880,incollection,everson:1990b,,,1990,,Epicurus on the Truth of the Senses,Epicurus on the Truth of the Senses,,,,,,,161--183,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:skepticism;2:ancient_skepticism
49881,book,everson:1991,,,1991,,Psychology,Psychology,Psychology,Psychology,,,,2,,,companions_to_ancient_thought,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,,false,,,everson,,1:psychology
49882,incollection,everson:1991a,,,1991,,Introduction,Introduction,,,,,,,1--12,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:psychology
49883,book,everson:1994,,,1994,,Language,Language,Language,Language,,,,3,,,companions_to_ancient_thought,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,,false,,,everson,,1:language
49884,incollection,everson:1994a,,,1994,,Introduction,Introduction,,,,,,,1--9,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:language
49885,incollection,everson:1994b,,,1994,,Epicurus on Mind and Language,Epicurus on Mind and Language,,,,,,,74--108,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:language
49886,incollection,everson:1995,,,1995,,Psychology,Psychology,,,,,,,168--194,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:psychology
49887,incollection,everson:1995a,,,1995,,Aristotle and the Explanation of Evaluation: a Reply to \citet{charles_d:1995},Aristotle and the Explanation of Evaluation: a Reply to Charles (1995),,,,,,,173--200,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:ethics;2:metaethics;3:moral_realism
49888,book,everson:1997,,,1997,,Aristotle on Perception,Aristotle on Perception,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/0198238630.001.0001,,,false,,everson,,,1:perception;2:perception_as_intake_of_form
49889,book,everson:1998,,,1998,,Ethics,Ethics,Ethics,Ethics,,,,4,,,companions_to_ancient_thought,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,,false,,,everson,,1:ethics
49890,incollection,everson:1998a,,,1998,,Introduction: Virtue and Morality,Introduction: Virtue and Morality,,,,,,,1--26,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:ethics
49891,incollection,everson:1998b,,,1998,,Aristotle on Nature and Value,Aristotle on Nature and Value,,,,,,,77--106,,,,,,,,,,,,,,,,,,,,false,,everson,,,
49892,incollection,everson:1998c,,,1998,,The Incoherence of Thrasymachus,The Incoherence of Thrasymachus,,,,,,,99--131,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:history_of_philosophy
49893,incollection,everson:1999,,,1999,,Epicurean Psychology,Epicurean Psychology,,,,,,,542--559,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:psychology
