id,school_key,name_latex,name_unicode
137,university_of_london,University of London,University of London
138,philosophy_department_university_of_toronto,"Philosophy Department, University of Toronto","Philosophy Department, University of Toronto"
139,philosophy_department_university_of_st_andrews,"Philosophy Department, University of St.~Andrews","Philosophy Department, University of St. Andrews"
140,department_of_computer_science_university_of_texas_at_austin,"Department of Computer Science, University of Texas at Austin","Department of Computer Science, University of Texas at Austin"
141,departement_philosophie_und_geschichtswissenschaft,Departement Philosophie und Geschichtswissenschaft,Departement Philosophie und Geschichtswissenschaft
142,girton_college_university_of_cambridge,"Girton College, University of Cambridge","Girton College, University of Cambridge"
143,australian_national_university_research_school_of_social_sciences,"Australian National University, Research School of Social Sciences","Australian National University, Research School of Social Sciences"
144,filosofiska_institutionen_uppsala_universitet,"Filosofiska Institutionen, Uppsala Universitet","Filosofiska Institutionen, Uppsala Universitet"
145,university_of_edinburgh,University of Edinburgh,University of Edinburgh
146,katholieke_universiteit_te_nijmegen,Katholieke Universiteit te Nijmegen,Katholieke Universiteit te Nijmegen
147,philosophy_department_kent_state_university,"Philosophy Department, Kent State University","Philosophy Department, Kent State University"
148,philosophy_department_yale_university,"Philosophy Department, Yale University","Philosophy Department, Yale University"
149,philosophy_department_queen_s_university,"Philosophy Department, Queen's University","Philosophy Department, Queen's University"
150,universit_a_t_des_saarlandes,"Universit{\""a}t des Saarlandes",Universität des Saarlandes
151,philosophy_department_university_of_wollongong,"Philosophy Department, University of Wollongong","Philosophy Department, University of Wollongong"
152,philosophy_department_university_of_waterloo,"Philosophy Department, University of Waterloo","Philosophy Department, University of Waterloo"
153,department_of_philosophy_university_of_michigan,"Department of Philosophy, University of Michigan","Department of Philosophy, University of Michigan"
154,philosophy_department_university_of_london,"Philosophy Department, University of London","Philosophy Department, University of London"
155,university_of_essex,University of Essex,University of Essex
156,philosophy_department_university_of_manitoba,"Philosophy Department, University of Manitoba","Philosophy Department, University of Manitoba"
157,queen_s_university,Queen's University,Queen's University
158,university_of_southern_california,University of Southern California,University of Southern California
159,university_of_utrecht,University of Utrecht,University of Utrecht
160,philosophy_department_university_of_exeter,"Philosophy Department, University of Exeter","Philosophy Department, University of Exeter"
161,philosophy_department_university_of_birmingham,"Philosophy Department, University of Birmingham","Philosophy Department, University of Birmingham"
162,king_s_college_university_of_cambridge,"King's College, University of Cambridge","King's College, University of Cambridge"
163,d_e_partement_de_philosophie_universit_e_de_lausanne,"D{\'e}partement de philosophie, Universit{\'e} de Lausanne","Département de philosophie, Université de Lausanne"
164,city_university_of_new_york,City University of New York,City University of New York
165,teoretisk_filosofi_g_o_teborgs_universitet,"Teoretisk filosofi, G{\""o}teborgs universitet","Teoretisk filosofi, Göteborgs universitet"
166,theologische_fakult_a_t,"Theologische Fakult{\""a}t",Theologische Fakultät
167,massachusetts_institute_of_technology_department_of_linguistics_and_philosopy,"Massachusetts Institute of Technology, Department of Linguistics and Philosopy","Massachusetts Institute of Technology, Department of Linguistics and Philosopy"
168,philosophy_department,Philosophy Department,Philosophy Department
169,universit_a_t_erlangen,"Universit{\""a}t Erlangen",Universität Erlangen
170,arch_e_philosophical_research_centre_for_logic_language_metaphysics_and_epistemology,"Arch{\'e} -- Philosophical Research Centre for Logic, Language, Metaphysics and Epistemology","Arché – Philosophical Research Centre for Logic, Language, Metaphysics and Epistemology"
171,harvard_university_philosophy_department,"Harvard University, Philosophy Department","Harvard University, Philosophy Department"
172,philosophy_department_university_of_south_wales,"Philosophy Department, University of South Wales","Philosophy Department, University of South Wales"
173,school_of_philosophy_theology_and_religion_university_of_birmingham,"School of Philosophy, Theology and Religion, University of Birmingham","School of Philosophy, Theology and Religion, University of Birmingham"
174,faculty_of_mathematics_and_computer_science_university_of_amsterdam,"Faculty of Mathematics and Computer Science, University of Amsterdam","Faculty of Mathematics and Computer Science, University of Amsterdam"
175,department_of_philosophy_university_of_massachusetts,"Department of Philosophy, University of Massachusetts","Department of Philosophy, University of Massachusetts"
176,georg_august_universit_a_g_o_ttingen,"Georg-August Universit{\""a} G{\""o}ttingen",Georg-August Universitä Göttingen
177,philosophy_department_state_university_of_new_york_at_buffalo,"Philosophy Department, State University of New York at Buffalo","Philosophy Department, State University of New York at Buffalo"
178,centre_for_cognitive_science_university_of_edinburgh,"Centre for Cognitive Science, University of Edinburgh","Centre for Cognitive Science, University of Edinburgh"
179,universit_e_de_lille,Universit{\'e} de Lille,Université de Lille
